,tss,strand,tss_type,MEME_p_value,rspm,tss_box_10_dist,box_10_left,box_10_right,locus_tag
48,342635,-1,a-iTSS,0.0079,25,6,342642,342647,TSS_386
49,350531,-1,a-iTSS,0.0064,11,7,350539,350544,TSS_387
50,354664,-1,p-iTSS,0.0037,230,7,354672,354677,TSS_388
51,354689,1,a-iTSS,0.00038,16,7,354676,354681,TSS_389
52,354763,-1,p-iTSS,0.0059,57,6,354770,354775,TSS_390
53,370646,1,p-iTSS,0.0011,16,6,370634,370639,TSS_391
54,372481,1,p-iTSS,0.012,12,7,372468,372473,TSS_392
55,373811,-1,a-iTSS,0.0069,22,6,373818,373823,TSS_393
56,379280,1,p-iTSS,0.0047,48,6,379268,379273,TSS_394
57,391735,1,p-iTSS,0.00025,549,8,391721,391726,TSS_395
58,400583,1,p-iTSS,0.0027,79,6,400571,400576,TSS_396
59,405136,-1,p-iTSS,0.00025,185,6,405143,405148,TSS_397
60,428525,-1,p-iTSS,0.00012,54,6,428532,428537,TSS_398
61,443196,-1,p-iTSS,2.4e-05,178,6,443203,443208,TSS_399
62,446015,-1,p-iTSS,0.0055,148,7,446023,446028,TSS_400
63,447506,-1,p-iTSS,0.0018,13,6,447513,447518,TSS_401
64,453191,-1,p-iTSS,0.00089,391,7,453199,453204,TSS_402
65,456317,-1,p-iTSS,1.5e-07,7869,6,456324,456329,TSS_403
66,459400,-1,p-iTSS,0.011,17,6,459407,459412,TSS_404
67,480480,-1,a-iTSS,6.1e-05,16,6,480487,480492,TSS_405
68,540945,-1,p-iTSS,0.004,19,6,540952,540957,TSS_406
69,550788,-1,p-iTSS,0.0059,55,7,550796,550801,TSS_407
70,569936,1,a-iTSS,0.0044,28,6,569924,569929,TSS_408
71,570319,-1,p-iTSS,0.00022,19,6,570326,570331,TSS_409
72,576701,-1,p-iTSS,0.00038,3338,11,576713,576718,TSS_410
73,584934,-1,p-iTSS,0.00056,187,7,584942,584947,TSS_411
74,606438,-1,p-iTSS,0.0012,40,6,606445,606450,TSS_412
75,612105,-1,p-iTSS,0.0037,12,6,612112,612117,TSS_413
76,640863,-1,p-iTSS,0.0084,16,11,640875,640880,TSS_414
77,655156,-1,p-iTSS,0.00022,23,5,655162,655167,TSS_415
78,675289,-1,p-iTSS,0.0037,21,6,675296,675301,TSS_416
79,691891,-1,p-iTSS,0.012,1513,13,691905,691910,TSS_417
80,699026,-1,p-iTSS,0.009,15,6,699033,699038,TSS_418
81,710868,-1,p-iTSS,0.0096,17,7,710876,710881,TSS_419
82,722698,1,a-iTSS,0.0012,13,6,722686,722691,TSS_420
83,733242,-1,p-iTSS,0.0069,57,6,733249,733254,TSS_421
84,739074,-1,p-iTSS,0.00022,121,6,739081,739086,TSS_422
85,743041,-1,p-iTSS,0.0051,19,6,743048,743053,TSS_423
86,745452,-1,p-iTSS,0.00038,11,7,745460,745465,TSS_424
87,746024,-1,p-iTSS,0.00071,37,6,746031,746036,TSS_425
88,749358,1,a-iTSS,0.0055,20,6,749346,749351,TSS_426
89,755365,-1,p-iTSS,0.0084,90,7,755373,755378,TSS_427
90,755613,-1,p-iTSS,0.0084,17,7,755621,755626,TSS_428
91,770155,-1,p-iTSS,0.0017,68,6,770162,770167,TSS_429
92,772815,-1,p-iTSS,0.0008,30,6,772822,772827,TSS_430
93,790147,-1,p-iTSS,8.6e-05,15,6,790154,790159,TSS_431
94,790956,-1,p-iTSS,0.0008,203,6,790963,790968,TSS_432
