,SN_ratio,TF,TSS_distance,TU,condition,fold_change,p_value,peak,start,stop,log_SN,log_pval
264,66.35,gadX,-70.5,gadE,,0,1.62E-03,P32,3655735,3655770,4.194943761,-6.42532913
265,54.04,gadX,-53.5,gadE,,0,4.44E-05,P33,3655754,3655785,3.989724513,-10.02227109
266,40.39,gadX,-36.5,gadE,,0,4.44E-05,P34,3655775,3655798,3.69858223,-10.02227109
267,79.18,gadX,3.5,gadE,,0,4.27E-03,P35,3655811,3655842,4.371723742,-5.456141452
268,118.48,gadX,-22,gadW,,2.40695,2.88E-05,P36,3662816,3662836,4.77474417,-10.45513517
269,174.99,gadX,-68.5,gadW,,2.40695,2.88E-05,P37,3662857,3662888,5.164728829,-10.45513517
270,337.74,gadX,-96.5,gadW,,2.40695,1.19E-02,P38,3662883,3662918,5.822276369,-4.431216879
271,11.37,gadX,-106,gadA,,0,7.67E-05,P39,3665727,3665747,2.430978308,-9.47560885
272,14.58,gadX,-127.5,gadA,,0,7.67E-05,P40,3665749,3665768,2.679650727,-9.47560885
273,43.24,gadX,71,yiiS-uspD,,0,8.74E-05,P41,4110801,4110821,3.766765993,-9.345015275
274,6.86,ompR,-350.5,mraZ,,0,3.61E-06,P1,89209,89268,1.925707442,-12.53180279
275,1.78,ompR,-73.5,tomB,,0,4.15E-03,P2,480063,480122,0.576613364,-5.484646945
276,2.51,ompR,-169.5,copA,,1.2,8.39E-04,P3,510775,510834,0.920282753,-7.083299851
277,2.26,ompR,43,nmpC,,1.29,8.08E-04,P4,576106,576166,0.815364813,-7.120948499
278,4.91,ompR,7.5,cstA,,0,1.44E-05,P5,629059,629118,1.591273942,-11.14828235
279,110.71,ompR,-57.5,ompX,,0,1.13E-05,P6,849553,849612,4.70691417,-11.39070783
280,43.04,ompR,-87.5,ompF,,-2.77,5.28E-05,P7,986373,986432,3.762129916,-9.848999367
281,3.07,ompR,-5,yccT,,1.55,6.76E-04,P8,1027037,1027089,1.121677562,-7.299317482
282,76.17,ompR,-,csgDEFG,,-10,1.80E-05,P9,1102597,1102656,4.332967684,-10.9251388
283,14.83,ompR,-,narUZYWV,,-5.56,1.80E-05,P10,1542224,1542283,2.696652156,-10.9251388
284,11.01,ompR,-46.5,tppB,,-2.17,1.13E-05,P11,1710621,1710680,2.398803951,-11.39070783
285,1.89,ompR,-86,htpX,,1.91,5.52E-04,P12,1910702,1910754,0.636576829,-7.501962512
286,2.01,ompR,-62,yobB-exoX,,3.23,2.36E-05,P13,1923367,1923419,0.698134722,-10.65426385
287,2.46,ompR,-,znuA,,-6.65,1.13E-05,P14,1940588,1940647,0.90016135,-11.39070783
288,2.23,ompR,-,znuA,,-6.65,1.54E-03,P15,1940818,1940875,0.802001585,-6.475972863
289,19.75,ompR,-,flhDC,,0,1.09E-03,P16,1976353,1976412,2.983153491,-6.821577583
290,20.52,ompR,-,yedS_1-yedS_2,,0,3.61E-06,P17,2031915,2031974,3.02140002,-12.53180279
291,64.94,ompR,-83,ompC/micF,,-4.84,1.67E-04,P18,2310906,2310960,4.173463767,-8.697516746
292,3.21,ompR,47.5,nuoN,,1.21,1.44E-05,P19,2389715,2389774,1.166270937,-11.14828235
293,2.24,ompR,65.5,fadL,,0,1.36E-04,P20,2459263,2459322,0.806475866,-8.902855672
294,33.82,ompR,589,ygcF(queE),,-1.45,1.36E-04,P21,2903494,2903554,3.521052343,-8.902855672
295,5.33,ompR,-187.5,galP,,1.03,5.63E-06,P22,3086060,3086119,1.673351238,-12.08740112
296,18.87,ompR,-100.5,psrN-alx,,1.45,3.33E-05,P23,3236367,3236426,2.937573359,-10.30995316
297,6.91,ompR,18.5,sstT,,0,3.61E-06,P24,3237874,3237933,1.932969638,-12.53180279
298,1.86,ompR,-321,malEFG,,1.53,2.00E-05,P25,4244765,4244851,0.620576488,-10.81977828
299,,cra,,aroP/pdhR-aceEF-lpd,,,,,,,,
300,,cra,,acnB/yacH,,,,,,,,
301,,cra,,yahA,,,,,,,,
302,,cra,,cyoABCDE,,,,,,,,
303,,cra,,abrB,,,,,,,,
304,,cra,,ssuEADCB/elfA,,,,,,,,
305,,cra,,icd,,,,,,,,
306,,cra,,adhE/ychE,,,,,,,,
307,,cra,,marRAB/marC,,,,,,,,
308,,cra,,pykF/ydhZ,,,,,,,,
309,,cra,,ppsA/ppsR,,,,,,,,
310,,cra,,yeaC,,,,,,,,
311,,cra,,gapA/msrB,,,,,,,,
312,,cra,,manXYZ/yoaE,,,,,,,,
313,,cra,,edd-eda,,,,,,,,
314,,cra,,zwf/pykA,,,,,,,,
315,,cra,,yeeX,,,,,,,,
316,,cra,,hisGDCBHAFI,,,,,,,,
317,,cra,,mdtABCD-baeSR,,,,,,,,
318,,cra,,fruBKA/setB,,,,,,,,
319,,cra,,spr,,,,,,,,
320,,cra,,nuoABCEFGHIJKLMN,,,,,,,,
321,,cra,,glk/yfeO,,,,,,,,
322,,cra,,ptsHI-crr,,,,,,,,
323,,cra,,raiA,,,,,,,,
324,,cra,,nrdHIEF,,,,,,,,
325,,cra,,eno,,,,,,,,
326,,cra,,gudPXD,,,,,,,,
327,,cra,,ygfI,,,,,,,,
328,,cra,,epd-pgk-fbaA,,,,,,,,
329,,cra,,yrbN-deaD,,,,,,,,
330,,cra,,yhfA/crp,,,,,,,,
331,,cra,,nirBDC-cysG,,,,,,,,
332,,cra,,yhfXWUTS-php,,,,,,,,
333,,cra,,nikABCDER,,,,,,,,
334,,cra,,mtlADR-yibIH,,,,,,,,
335,,cra,,gpmM-envC-yibQ/yibN,,,,,,,,
336,,cra,,metER,,,,,,,,
337,,cra,,pfkA,,,,,,,,
338,,cra,,tipA,,,,,,,,
339,,cra,,ppc,,,,,,,,
340,,cra,,aceBAK/mpl,,,,,,,,
341,,cra,,fbp,,,,,,,,
342,,cra,,treBC,,,,,,,,
343,,cra,,arcA/yjtD,,,,,,,,
344,2.63,arcA,,thrLABC,Nitrate,,,,22,205,,
345,5.86,arcA,,fkpB-ileS-ispH-lspA-ribF,Nitrate,,,,21121,21465,,
346,5.86,arcA,,rpsT,Nitrate,,,,21121,21465,,
347,8.02,arcA,,carAB,Nitrate,,,,29489,30064,,
348,7.87,arcA,,caiABCDET,Nitrate/Anaerobic,,,,41664,42181,,
349,9.42,arcA,,leuLABCD,Nitrate,,,,83468,83931,,
350,6.51,arcA,,lpd,Nitrate/Anaerobic,,,,127633,128251,,
351,7.19,arcA,,acnB,Nitrate/Anaerobic,,,,131272,131772,,
352,7.19,arcA,,yacH,Nitrate,,,,131272,131772,,
353,8.38,arcA,,fadE,Nitrate/Anaerobic,,,,243079,243744,,
354,7.48,arcA,,betABI,Anaerobic,,,,328313,328569,,
355,8.38,arcA,,lpcA,Nitrate,,,,243079,243744,,
356,5.65,arcA,,lacI-mhpR,Nitrate/Anaerobic,,,,367853,368107,,
357,5.65,arcA,,mhpABCDEF,Nitrate,,,,367853,368107,,
358,77.87,arcA,,cyoABCDE,Nitrate/Anaerobic,,,,450221,451684,,
359,5.78,arcA,,kdpABCF,Nitrate/Anaerobic,,,,727885,728489,,
360,5.78,arcA,,ybfA,Nitrate/Anaerobic,,,,727885,728489,,
361,19.63,arcA,,sdhABCD-sucABCD,Nitrate/Anaerobic,,,,753888,754426,,
362,19.63,arcA,,gltA,Nitrate/Anaerobic,,,,753888,754426,,
363,14.61,arcA,,cydAB,Nitrate/Anaerobic,,,,769905,770563,,
364,13.7,arcA,,moaABCDE,Nitrate,,,,815916,816683,,
365,13.7,arcA,,ybhK,Nitrate,,,,815916,816683,,
366,7.62,arcA,,fiu-mcbA,Nitrate,,,,840676,841126,,
367,49.88,arcA,,ybiU,Nitrate/Anaerobic,,,,857915,858999,,
368,8.59,arcA,,ybiWY,Nitrate,,,,862364,862943,,
369,8.59,arcA,,fsaA,Nitrate,,,,862364,862943,,
370,13.12,arcA,,gsiABCD-iaaA,Nitrate,,,,865743,866455,,
371,7.1,arcA,,bssR,Nitrate,,,,877089,877801,,
372,7.1,arcA,,rimO,Nitrate,,,,877089,877801,,
373,24.98,arcA,,potFGHI,Nitrate/Anaerobic,,,,892368,893009,,
374,7.05,arcA,,macAB,Nitrate,,,,917844,918319,,
375,7.05,arcA,,ybjX,Nitrate,,,,917844,918319,,
376,13.99,arcA,,infA-serW,Nitrate,,,,924976,925842,,
377,4.74,arcA,,clpAS,Anaerobic,,,,922324,922705,,
378,12.21,arcA,,cydCD,Nitrate/Anaerobic,,,,930102,930635,,
379,10.37,arcA,,focA-pflB,Nitrate,,,,953235,954107,,
380,8.78,arcA,,pepN,Nitrate/Anaerobic,,,,989551,989881,,
381,8.78,arcA,,pncB,Nitrate/Anaerobic,,,,989551,989881,,
382,8.1,arcA,,rmf,Nitrate,,,,1014840,1015615,,
383,8.71,arcA,,serT-yccA,Nitrate,,,,1030559,1031021,,
384,12.52,arcA,,rutABCDEFG,Nitrate/Anaerobic,,,,1072946,1073509,,
385,12.52,arcA,,rutR,Nitrate/Anaerobic,,,,1072946,1073509,,
386,11.09,arcA,,putP,Nitrate/Anaerobic,,,,1078134,1079013,,
387,16.17,arcA,,putA,Anaerobic,,,,1077976,1078513,,
388,4,arcA,,phoH,Nitrate/Anaerobic,,,,1084046,1084376,,
389,4.38,arcA,,yceIJ,Anaerobic,,,,1118029,1118304,,
390,14.94,arcA,,fabDGH-plsX-psrD-rpmF-yceD,Nitrate,,,,1145843,1146734,,
391,7.77,arcA,,acpP-fabF,Nitrate,,,,1150735,1151219,,
392,9.54,arcA,,ptsG,Nitrate,,,,1156739,1157531,,
393,3.22,arcA,,ndh,Nitrate/Anaerobic,,,,1165276,1165541,,
394,9.34,arcA,,icd,Nitrate/Anaerobic,,,,1194146,1194605,,
395,9.34,arcA,,nudJ-rluE,Nitrate,,,,1194146,1194605,,
396,9.94,arcA,,dsbB,Nitrate/Anaerobic,,,,1232163,1232721,,
397,13.65,arcA,,dhaR,Anaerobic,,,,1249988,1250500,,
398,13.65,arcA,,dhaKLM,Anaerobic,,,,1249988,1250500,,
399,9.99,arcA,,oppABCDF,Anaerobic,,,,1298414,1299077,,
400,6.29,arcA,,puuDR,Nitrate/Anaerobic,,,,1358699,1359349,,
401,6.29,arcA,,puuA,Nitrate/Anaerobic,,,,1358699,1359349,,
402,6.73,arcA,,tpx,Nitrate/Anaerobic,,,,1386238,1387113,,
403,6.73,arcA,,ycjG,Nitrate,,,,1386238,1387113,,
404,5.92,arcA,,feaR,Anaerobic,,,,1445043,1445306,,
405,5.92,arcA,,feaB,Anaerobic,,,,1445043,1445306,,
406,4.29,arcA,,paaABCDEFGHIJK,Nitrate/Anaerobic,,,,1451672,1452114,,
407,4.29,arcA,,maoC,Nitrate/Anaerobic,,,,1451672,1452114,,
408,7.2,arcA,,aldA,Nitrate/Anaerobic,,,,1485851,1486522,,
409,5.53,arcA,,yncE,Nitrate/Anaerobic,,,,1520872,1521293,,
410,5.53,arcA,,yncD,Nitrate/Anaerobic,,,,1520872,1521293,,
411,4.54,arcA,,ddpABCDFX,Anaerobic,,,,1560974,1561381,,
412,9.41,arcA,,uxaB,Nitrate/Anaerobic,,,,1608517,1608984,,
413,7.42,arcA,,pntAB,Nitrate/Anaerobic,,,,1675706,1676221,,
414,9,arcA,,ydgC,Nitrate/Anaerobic,,,,1679542,1680354,,
415,9,arcA,,rstAB,Nitrate/Anaerobic,,,,1679542,1680354,,
416,3.93,arcA,,fumA,Nitrate/Anaerobic,,,,1686396,1686946,,
417,4.13,arcA,,fumC,Anaerobic,,,,1684671,1685000,,
418,3.93,arcA,,manA,Nitrate/Anaerobic,,,,1686396,1686946,,
419,10.65,arcA,,astABCDE,Nitrate/Anaerobic,,,,1829936,1830386,,
420,10.65,arcA,,xthA,Nitrate,,,,1829936,1830386,,
421,9.56,arcA,,gapA-yeaD,Nitrate,,,,1860590,1861003,,
422,9.56,arcA,,msrB,Nitrate,,,,1860590,1861003,,
423,11.08,arcA,,fadD,Nitrate/Anaerobic,,,,1887394,1888236,,
424,6.64,arcA,,flhCD,Nitrate/Anaerobic,,,,1976263,1976504,,
425,8.13,arcA,,uspC,Nitrate/Anaerobic,,,,1977375,1977654,,
426,8.13,arcA,,insB_5,Nitrate,,,,1977375,1977654,,
427,4.31,arcA,,azuC-isrB-yecJ,Anaerobic,,,,1985963,1986293,,
428,4.31,arcA,,yecR,Anaerobic,,,,1985963,1986293,,
429,6.42,arcA,,mglABC,Nitrate/Anaerobic,,,,2238472,2238897,,
430,5.71,arcA,,yeiG,Nitrate,,,,2241347,2241935,,
431,5.71,arcA,,folE-yeiB,Nitrate,,,,2241347,2241935,,
432,8.28,arcA,,cirA,Nitrate,,,,2244605,2245268,,
433,5.96,arcA,,yeiQ,Nitrate/Anaerobic,,,,2263985,2264339,,
434,10.69,arcA,,yejG,Nitrate/Anaerobic,,,,2276039,2276443,,
435,8.61,arcA,,rplY,Nitrate,,,,2280151,2280914,,
436,5.86,arcA,,proL,Nitrate,,,,2284173,2284656,,
437,4.77,arcA,,mqo,Nitrate/Anaerobic,,,,2304509,2304868,,
438,16.34,arcA,,micF-rcsBD,Nitrate/Anaerobic,,,,2310743,2311405,,
439,16.34,arcA,,ompC,Nitrate/Anaerobic,,,,2310743,2311405,,
440,9.64,arcA,,yfbM,Nitrate/Anaerobic,,,,2384706,2385289,,
441,14.09,arcA,,nuoABCEFGHIJKLMN,Nitrate/Anaerobic,,,,2402959,2403487,,
442,4.79,arcA,,argT-hisJMPQ,Nitrate/Anaerobic,,,,2425948,2426273,,
443,5.48,arcA,,fadIJ-yfcZ,Nitrate/Anaerobic,,,,2458400,2458764,,
444,12.8,arcA,,ypdABC,Nitrate/Anaerobic,,,,2496347,2496888,,
445,12.8,arcA,,yfdZ,Nitrate/Anaerobic,,,,2496347,2496888,,
446,7.2,arcA,,mntH,Nitrate,,,,2510813,2511330,,
447,7.2,arcA,,nupC,Nitrate/Anaerobic,,,,2510813,2511330,,
448,4.1,arcA,,yffQR,Nitrate/Anaerobic,,,,2561187,2561595,,
449,13.65,arcA,,xseA,Nitrate,,,,2631812,2632525,,
450,13.65,arcA,,guaAB,Nitrate,,,,2631812,2632525,,
451,10.23,arcA,,ndk,Nitrate/Anaerobic,,,,2642597,2643118,,
452,6.87,arcA,,suhB,Nitrate,,,,2661207,2661749,,
453,6.87,arcA,,trmJ,Nitrate,,,,2661207,2661749,,
454,8.22,arcA,,hcaR,Anaerobic,,,,2666749,2667128,,
455,8.22,arcA,,hcaBCDEF,Anaerobic,,,,2666749,2667128,,
456,5.62,arcA,,yfiF,Anaerobic,,,,2716446,2716865,,
457,3.48,arcA,,kgtP,Anaerobic,,,,2723572,2723872,,
458,12.09,arcA,,ssrA,Nitrate,,,,2753425,2754054,,
459,9.1,arcA,,csiD-gabDPT-lhgO,Nitrate/Anaerobic,,,,2786581,2787102,,
460,9.25,arcA,,csrB-truC-yqcA-yqcC,Nitrate,,,,2922199,2922704,,
461,8.93,arcA,,gcvA,Nitrate/Anaerobic,,,,2940499,2940974,,
462,8.93,arcA,,gcvB,Nitrate/Anaerobic,,,,2940499,2940974,,
463,9.5,arcA,,glcC,Nitrate/Anaerobic,,,,3125852,3126560,,
464,9.5,arcA,,glcABDEFG,Nitrate/Anaerobic,,,,3125852,3126560,,
465,3.03,arcA,,hybABCDEFGO-yghW,Nitrate,,,,3144302,3144752,,
466,9.59,arcA,,ygjD,Nitrate,,,,3208503,3209120,,
467,9.59,arcA,,dnaG-rpoD-rpsU,Nitrate,,,,3208503,3209120,,
468,56.79,arcA,,ygjG,Nitrate/Anaerobic,,,,3216816,3217970,,
469,56.79,arcA,,aer,Nitrate,,,,3216816,3217970,,
470,11.27,arcA,,fadH,Nitrate/Anaerobic,,,,3229492,3229925,,
471,12.24,arcA,,sstT,Nitrate/Anaerobic,,,,3237429,3238167,,
472,4.06,arcA,,exuT,Nitrate/Anaerobic,,,,3242529,3242792,,
473,4.06,arcA,,uxaAC,Nitrate/Anaerobic,,,,3242529,3242792,,
474,8.51,arcA,,nlpI,Nitrate,,,,3306347,3306826,,
475,9.77,arcA,,pnp-rpsO,Nitrate,,,,3309193,3309930,,
476,9.77,arcA,,psrO,Nitrate,,,,3309193,3309930,,
477,8.7,arcA,,argG,Nitrate,,,,3316172,3316576,,
478,8.7,arcA,,infB-metY-nusA-pnp-rbfA-rimP-rpsO-truB,Nitrate,,,,3316172,3316576,,
479,18.9,arcA,,leuU-secG,Nitrate,,,,3320118,3320918,,
480,7.54,arcA,,rplU-rpmA,Nitrate,,,,3331135,3331514,,
481,14.07,arcA,,yhcC,Nitrate,,,,3351922,3352747,,
482,14.07,arcA,,gltBDF,Nitrate,,,,3351922,3352747,,
483,10.32,arcA,,argR,Nitrate,,,,3382354,3383246,,
484,10.32,arcA,,mdh,Nitrate/Anaerobic,,,,3382354,3383246,,
485,7.17,arcA,,nudE,Nitrate/Anaerobic,,,,3524059,3524713,,
486,7.17,arcA,,yrfF,Nitrate,,,,3524059,3524713,,
487,3.76,arcA,,pck,Nitrate,,,,3530384,3530763,,
488,3.76,arcA,,yhgE,Nitrate,,,,3530384,3530763,,
489,6.28,arcA,,feoABC,Nitrate/Anaerobic,,,,3537768,3538389,,
490,3.37,arcA,,glpD,Nitrate,,,,3559725,3560000,,
491,3.37,arcA,,glpEGR,Nitrate/Anaerobic,,,,3559725,3560000,,
492,9.42,arcA,,ugpABCEQ,Nitrate/Anaerobic,,,,3590129,3590604,,
493,6.86,arcA,,rbbA-yhhJ-yhiI,Nitrate,,,,3628633,3629217,,
494,6.23,arcA,,gadWX,Nitrate/Anaerobic,,,,3663691,3664091,,
495,203.32,arcA,,yhjE,Nitrate/Anaerobic,,,,3671224,3673895,,
496,11.88,arcA,,dppABCDF,Nitrate/Anaerobic,,,,3705383,3706208,,
497,8.83,arcA,,yhjX,Nitrate/Anaerobic,,,,3710141,3710558,,
498,12.02,arcA,,cspA-yiaG,Nitrate,,,,3717470,3718158,,
499,5.16,arcA,,avtA,Anaerobic,,,,3737340,3737681,,
500,11.22,arcA,,lldDPR,Nitrate/Anaerobic,,,,3774832,3775395,,
501,10.37,arcA,,mutM-rpmBG,Nitrate,,,,3809457,3810128,,
502,4.71,arcA,,nepI,Anaerobic,,,,3839670,3839963,,
503,13.25,arcA,,rnpA-rpmH,Nitrate,,,,3882060,3882705,,
504,13.25,arcA,,dnaAN-recF,Nitrate,,,,3882060,3882705,,
505,5.19,arcA,,yieEF,Nitrate/Anaerobic,,,,3891506,3892056,,
506,11.45,arcA,,rhlB,Nitrate,,,,3963762,3964341,,
507,11.45,arcA,,rho-rhoL-trxA,Nitrate,,,,3963762,3964341,,
508,8.02,arcA,,yigFG,Anaerobic,,,,4001099,4001479,,
509,4.49,arcA,,yigI,Anaerobic,,,,4002474,4002970,,
510,4.49,arcA,,pldA,Anaerobic,,,,4002474,4002970,,
511,6.33,arcA,,hemG-pepQ-trkH-yigZ,Nitrate/Anaerobic,,,,4028951,4029389,,
512,6.33,arcA,,fadAB,Nitrate/Anaerobic,,,,4028951,4029389,,
513,10.7,arcA,,fabR-yijD,Nitrate,,,,4158474,4159090,,
514,3.15,arcA,,fdhE-fdoGHI,Anaerobic,,,,4083326,4083676,,
515,10.7,arcA,,sthA,Nitrate/Anaerobic,,,,4158474,4159090,,
516,9.12,arcA,,thiCEFGHS,Nitrate/Anaerobic,,,,4194017,4194596,,
517,9.92,arcA,,ubiAC,Anaerobic,,,,4250255,4250645,,
518,8.49,arcA,,nrfABCDEFG,Nitrate/Anaerobic,,,,4285290,4285644,,
519,8.49,arcA,,acs-actP-yjcH,Nitrate/Anaerobic,,,,4285290,4285644,,
520,5.33,arcA,,dcuB-fumB,Nitrate/Anaerobic,,,,4346724,4347078,,
521,12.53,arcA,,dcuA,Nitrate/Anaerobic,,,,4364658,4365071,,
522,26.83,arcA,,cycA,Nitrate/Anaerobic,,,,4427296,4427950,,
523,12.53,arcA,,yjiS,Nitrate/Anaerobic,,,,4569507,4569903,,
524,12.53,arcA,,yjiR,Nitrate/Anaerobic,,,,4569507,4569903,,
525,23.97,arcA,,yjjY,Nitrate,,,,4637994,4639032,,
526,23.97,arcA,,arcA,Nitrate/Anaerobic,,,,4637994,4639032,,
527,7.91,arcA,,phnCDEFGHIJKLMNOP,Anaerobic,,,,4323037,4323628,,
528,4.19,arcA,,osmY,Anaerobic,,,,4608883,4609308,,
529,13.42,arcA,,yjiJ,Anaerobic,,,,4560494,4560948,,
530,14.1,fnr,,thrLABC,Nitrate/Anaerobic,,,,22,426,,
531,4.36,fnr,,caiF,Anaerobic,,,,33664,34016,,
532,37.33,fnr,,aceEF-lpd-pdhR,Nitrate/Anaerobic,,,,121581,122493,,
533,37.33,fnr,,aroP,Nitrate/Anaerobic,,,,121581,122493,,
534,2.31,fnr,,metINQ,Anaerobic,,,,222754,222983,,
535,2.31,fnr,,gmhB,Anaerobic,,,,222754,222983,,
536,5.33,fnr,,aspV-yafT,Nitrate,,,,236760,237227,,
537,5.4,fnr,,iraP,Anaerobic,,,,400018,400376,,
538,5.4,fnr,,ddlA,Anaerobic,,,,400018,400376,,
539,5.72,fnr,,nohB,Nitrate/Anaerobic,,,,579629,579977,,
540,9.89,fnr,,glnUVWX-leuW-metTU,Nitrate,,,,695756,696406,,
541,21.85,fnr,,cydAB,Nitrate/Anaerobic,,,,770097,770680,,
542,6.18,fnr,,ybhK,Nitrate/Anaerobic,,,,815945,816229,,
543,6.18,fnr,,moaABCDE,Nitrate/Anaerobic,,,,815945,816229,,
544,5.81,fnr,,ybiT,Nitrate/Anaerobic,,,,854877,855223,,
545,5.81,fnr,,ybiS,Nitrate/Anaerobic,,,,854877,855223,,
546,4.06,fnr,,ybiWY,Nitrate/Anaerobic,,,,862561,863006,,
547,4.06,fnr,,fsaA,Nitrate/Anaerobic,,,,862561,863006,,
548,18.86,fnr,,bssR,Nitrate/Anaerobic,,,,877230,877764,,
549,18.86,fnr,,rimO,Nitrate/Anaerobic,,,,877230,877764,,
550,4.9,fnr,,aqpZ,Nitrate/Anaerobic,,,,915184,915551,,
551,4.9,fnr,,ybjD,Nitrate/Anaerobic,,,,915184,915551,,
552,2.35,fnr,,cydCD,Anaerobic,,,,929843,930127,,
553,8.66,fnr,,dmsABC,Anaerobic,,,,939760,940277,,
554,25.12,fnr,,focA-pflB,Nitrate/Anaerobic,,,,953406,954037,,
555,11.66,fnr,,pyrD,Nitrate/Anaerobic,,,,1003698,1004086,,
556,4.58,fnr,,ptsG,Nitrate/Anaerobic,,,,1156969,1157306,,
557,4.58,fnr,,pepT,Nitrate,,,,1184805,1185388,,
558,4.58,fnr,,potABCD,Nitrate,,,,1184805,1185388,,
559,8.05,fnr,,dhaKLM,Anaerobic,,,,1249958,1250388,,
560,8.05,fnr,,dhaR,Anaerobic,,,,1249958,1250388,,
561,2.47,fnr,,narK,Nitrate/Anaerobic,,,,1276714,1276968,,
562,2.47,fnr,,narLX,Nitrate/Anaerobic,,,,1276714,1276968,,
563,3.95,fnr,,narGHIJ,Nitrate/Anaerobic,,,,1278930,1279184,,
564,43.41,fnr,,adhE,Nitrate/Anaerobic,,,,1297064,1298014,,
565,43.41,fnr,,ychE,Nitrate/Anaerobic,,,,1297064,1298014,,
566,9.82,fnr,,ompW,Nitrate/Anaerobic,,,,1311573,1312065,,
567,9.82,fnr,,yciBC,Nitrate/Anaerobic,,,,1311573,1312065,,
568,5.97,fnr,,fnr,Nitrate/Anaerobic,,,,1397425,1397801,,
569,57.16,fnr,,dbpA-fnrS,Nitrate/Anaerobic,,,,1406606,1407751,,
570,4.34,fnr,,uspF,Anaerobic,,,,1433809,1434164,,
571,55.69,fnr,,ydcXY,Nitrate/Anaerobic,,,,1514693,1515851,,
572,55.69,fnr,,yncL,Nitrate/Anaerobic,,,,1514693,1515851,,
573,6.22,fnr,,fdnGHI,Nitrate/Anaerobic,,,,1545268,1545543,,
574,6.22,fnr,,yddG,Nitrate/Anaerobic,,,,1545268,1545543,,
575,7.06,fnr,,uxaB,Nitrate/Anaerobic,,,,1608609,1608992,,
576,7.04,fnr,,ydfZ,Nitrate/Anaerobic,,,,1627076,1627334,,
577,5.29,fnr,,nohA-tfaQ-ydfN,Nitrate/Anaerobic,,,,1634523,1634804,,
578,5.29,fnr,,ydfO-ynfO,Nitrate/Anaerobic,,,,1634523,1634804,,
579,3.67,fnr,,dmsD-ynfEFGH,Anaerobic,,,,1655846,1656200,,
580,25.27,fnr,,ynfK,Nitrate/Anaerobic,,,,1664954,1665609,,
581,5.18,fnr,,anmK,Anaerobic,,,,1717589,1717980,,
582,5.18,fnr,,slyB,Anaerobic,,,,1717589,1717980,,
583,55.45,fnr,,slyA,Nitrate/Anaerobic,,,,1718564,1719676,,
584,55.45,fnr,,ydhIJK,Nitrate/Anaerobic,,,,1718564,1719676,,
585,5.61,fnr,,ydhTUVWXY,Anaerobic,,,,1752229,1752712,,
586,8.95,fnr,,ydjXYZ-ynjABCD,Nitrate/Anaerobic,,,,1830936,1831736,,
587,7.7,fnr,,ynjE,Nitrate/Anaerobic,,,,1837249,1837857,,
588,7.43,fnr,,msrB,Nitrate/Anaerobic,,,,1860528,1860849,,
589,7.43,fnr,,gapA-yeaD,Nitrate/Anaerobic,,,,1860528,1860849,,
590,5.34,fnr,,yeaI,Anaerobic,,,,1868390,1868661,,
591,49.24,fnr,,pykA,Nitrate/Anaerobic,,,,1935038,1936071,,
592,5.43,fnr,,yecH,Nitrate/Anaerobic,,,,1987416,1987641,,
593,5.43,fnr,,tyrP,Nitrate/Anaerobic,,,,1987416,1987641,,
594,2.74,fnr,,yedEF,Anaerobic,,,,2006399,2006691,,
595,10.16,fnr,,yoeA,Nitrate,,,,2066085,2066718,,
596,8.31,fnr,,yeiQ,Nitrate/Anaerobic,,,,2263835,2264310,,
597,9.16,fnr,,yfaL,Anaerobic,,,,2342209,2342718,,
598,9.16,fnr,,nrdAB-yfaE,Anaerobic,,,,2342209,2342718,,
599,5.67,fnr,,arnABCDEFT,Anaerobic,,,,2363905,2364372,,
600,8.35,fnr,,nuoABCEFGHIJKLMN,Nitrate/Anaerobic,,,,2403298,2403613,,
601,29.13,fnr,,ackA-pta,Nitrate/Anaerobic,,,,2411077,2411786,,
602,29.13,fnr,,yfbV,Nitrate/Anaerobic,,,,2411077,2411786,,
603,7.73,fnr,,yfcC,Nitrate/Anaerobic,,,,2414873,2415198,,
604,6.04,fnr,,yfcZ,Nitrate/Anaerobic,,,,2458993,2459343,,
605,6.04,fnr,,fadL,Nitrate/Anaerobic,,,,2458993,2459343,,
606,4,fnr,,yffL,Nitrate/Anaerobic,,,,2558286,2558519,,
607,5.81,fnr,,yffQR,Anaerobic,,,,2561320,2561654,,
608,18.73,fnr,,yffS,Nitrate/Anaerobic,,,,2562241,2562791,,
609,6.78,fnr,,purMN,Nitrate/Anaerobic,,,,2618825,2619146,,
610,6.78,fnr,,upp-uraA,Nitrate/Anaerobic,,,,2618825,2619146,,
611,6.67,fnr,,guaAB,Nitrate/Anaerobic,,,,2632029,2632437,,
612,6.67,fnr,,xseA,Nitrate/Anaerobic,,,,2632029,2632437,,
613,58.62,fnr,,ung,Nitrate/Anaerobic,,,,2713973,2715190,,
614,58.62,fnr,,yfiD,Nitrate/Anaerobic,,,,2713973,2715190,,
615,5.1,fnr,,ygcNOP,Nitrate/Anaerobic,,,,2890562,2890817,,
616,4.22,fnr,,eno-pyrG,Nitrate,,,,2907727,2908047,,
617,8.51,fnr,,csrB-truC-yqcA-yqcC,Nitrate,,,,2922168,2922822,,
618,14.13,fnr,,metVWZ,Nitrate/Anaerobic,,,,2945028,2945524,,
619,14.13,fnr,,mltA,Nitrate/Anaerobic,,,,2945028,2945524,,
