,locus_tag,name,tss,strand
872,BSU_11190,argC,1194971,1
874,BSU_11210,argB,1195002,1
876,BSU_11260,yjzC,1204490,1
877,BSU_11270,yjzD,1204962,-1
878,BSU_11280,yjaU,1205040,1
879,new_1205658_1206260_c,S400,1206260,-1
882,BSU_11310,comZ,1205106,1
883,BSU_11320,yjzB,1208091,-1
884,BSU_11330,fabHA,1208154,1
886,BSU_11350,yjaZ,1210473,1
887,BSU_11360,appD,1211372,1
890,BSU_11382,appA/2,1213460,1
893,BSU_11410,yjbA,1217289,1
894,BSU_11420,trpS,1219410,-1
895,BSU_11430,oppA,1219687,1
898,BSU_11480,yjbB,1225516,1
899,BSU_11490,yjbC,1226830,1
900,BSU_11500,spx,1226862,1
901,BSU_11510,yjbE,1228836,-1
903,BSU_11520,mecA,1229015,1
904,BSU_11530,coiA,1229850,1
906,BSU_11549,yizD,1233336,-1
907,BSU_misc_RNA_67,roxS,1233399,1
908,BSU_11550,yjbH,1235088,-1
909,new_1233877_1235778,S416,1233861,1
910,BSU_11570,cwlQ,1236066,-1
911,BSU_11580,yjbK,1236530,-1
912,BSU_11590,yjbL,1236562,1
913,BSU_11640,cpaA,1240278,1
914,BSU_11650,tenA,1242229,1
915,BSU_11720,fabI,1247728,1
916,BSU_11730,cotO,1248648,1
917,BSU_11740,cotZ,1250543,-1
918,BSU_11750,cotY,1250607,-1
919,BSU_11760,cotX,1251195,-1
920,BSU_11770,cotW,1252041,-1
922,BSU_11790,yjcA,1250531,1
924,new_1252566_1252752,S423,1252566,1
925,BSU_11799,yjzK,1252801,1
926,BSU_11800,yjcB,1252802,1
929,BSU_11820,yjcD,1256040,-1
930,BSU_11839,yjzE,1255943,1
931,BSU_11840,yjcF,1258196,-1
932,BSU_11870,metI,1258282,1
933,BSU_11890,yjcK,1262646,-1
934,BSU_tRNA_83,trnSL-Val2,1260805,1
935,BSU_11910,yjcM,1265021,-1
936,BSU_11920,yjcN,1265007,1
937,BSU_11940,yjcP,1266349,1
939,BSU_11970,yjcS,1268269,1
940,BSU_11990,yjdB,1270125,-1
941,BSU_12000,manR,1270555,1
942,BSU_12010,manP,1272683,1
943,BSU_12020,manA,1275740,1
944,BSU_12040,yjdG,1276874,-1
945,BSU_12050,yjdH,1277493,-1
946,BSU_12060,yjdI,1277633,1
947,BSU_12069,yjzH,1278429,-1
948,BSU_12070,yjdJ,1278944,-1
949,new_1279022_1279523,S444,1279022,1
950,BSU_12080,ctaO,1280507,-1
952,BSU_12090,cotT,1281012,-1
953,BSU_12100,pdaC,1281023,1
954,BSU_12110,yjfA,1283084,-1
955,BSU_12120,yjfB,1283357,-1
956,BSU_12140,yjgA,1284817,-1
957,BSU_12150,yjgB,1285479,-1
958,BSU_12160,yjgC,1285542,1
959,BSU_12180,yjhA,1289259,1
961,BSU_12200,yjiA,1291001,-1
962,BSU_12210,yjiB,1291171,1
963,BSU_12229,yjzI,1293993,-1
964,BSU_12230,yjjA,1294084,1
965,BSU_12260,yjlA,1297641,-1
966,BSU_12270,yjlB,1297701,1
967,BSU_12280,yjlC,1298355,1
968,BSU_12300,uxaC,1300143,1
970,BSU_12320,yjmC,1300397,1
972,BSU_12340,uxuA,1303343,1
974,BSU_12360,exuT,1303368,1
976,BSU_12380,uxaB,1308679,1
978,BSU_12400,yjnA,1313661,-1
979,BSU_12410,bstD,1314350,-1
980,BSU_12420,yjoB,1314424,1
981,BSU_12430,rapA,1315838,1
982,BSU_12450,yjpA,1317442,-1
983,BSU_12460,xlyB,1317497,1
984,BSU_12470,yjqA,1318940,-1
985,BSU_12480,pghB,1318443,1
986,BSU_12490,yjqC,1318974,1
987,BSU_12510,xre,1321712,-1
988,BSU_12519,yjzJ,1321790,1
989,BSU_12570,xtmA,1325005,1
992,BSU_12600,xkdF,1328239,1
995,BSU_12620,xkdH,1346693,1
996,BSU_12820,spoIISB,1349210,-1
997,BSU_12830,spoIISA,1349397,-1
998,BSU_12840,pit,1351137,-1
999,BSU_12850,ykaA,1351236,-1
1000,BSU_12860,steT,1352754,-1
1001,BSU_12870,mhqA,1353011,1
1002,BSU_12880,ykcB,1355234,1
1003,new_1357486_1357852_c,S462,1357852,-1
1004,BSU_12900,htrA,1359345,-1
1005,BSU_12910,proG,1359345,1
1006,BSU_12920,dppA,1360365,1
1009,BSU_12950,dppD,1362890,1
1012,BSU_13010,ykgB,1370963,-1
1013,BSU_13020,ykgA,1371917,-1
1014,BSU_13030,ykhA,1371977,1
1015,BSU_13040,hmp,1372636,1
1017,BSU_13070,bstF,1375234,1
1018,BSU_13090,ykkC,1376313,1
1019,BSU_13110,ykkE,1377203,1
1020,BSU_13120,proB,1378226,1
1021,BSU_13130,proA,1378687,1
1022,BSU_13140,ohrA,1380951,1
1023,BSU_13150,ohrR,1381910,-1
1024,BSU_13160,ohrB,1381994,1
1026,BSU_13170,guaD,1383171,-1
1027,BSU_13180,metE,1385671,-1
1028,BSU_13190,ispA,1387028,-1
1029,BSU_13200,rsbRB,1387168,1
1030,BSU_13210,thiX,1391887,-1
1031,BSU_13250,ykoG,1391882,1
1032,BSU_13260,ykoH,1394737,1
1033,BSU_13290,ykzD,1395340,1
1034,BSU_13300,mgtE,1395590,1
1035,BSU_13310,tnrA,1397769,-1
1036,BSU_13320,ykzB,1397909,1
1037,BSU_13330,ykoL,1398153,1
1038,BSU_13340,ykoM,1398413,1
1039,BSU_13350,ykoN,1400145,-1
1040,BSU_13360,ykoP,1399409,1
1041,BSU_13370,ykoQ,1401553,-1
1042,BSU_13380,ykoS,1401697,1
1043,BSU_13400,ligD,1407273,-1
1044,BSU_13420,dgcW,1409781,-1
1045,BSU_13430,ykoX,1409881,1
1047,BSU_13440,ykoY,1410607,1
1048,BSU_13450,sigI,1411776,1
1049,BSU_13460,rsgI,1411861,1
1050,BSU_13470,sspD,1414033,-1
1051,BSU_13480,ykrK,1414907,-1
1052,BSU_13490,htpX,1414951,1
1053,BSU_13500,ktrD,1416022,1
1054,BSU_13509,ykzP,1417493,1
1055,BSU_13510,ykzE,1417845,1
1056,BSU_13520,ykrP,1419021,-1
1057,BSU_13530,kinE,1419165,1
1058,BSU_13550,mtnA,1424721,-1
1059,BSU_13570,mtnU,1425576,-1
1060,BSU_13580,mtnE,1424791,1
1061,BSU_13590,mtnW,1426857,1
1062,BSU_13600,mtnX,1426876,1
1063,BSU_13630,ykvA,1430570,-1
1064,BSU_13640,spo0E,1430538,1
1065,BSU_13660,kinD,1433035,-1
1066,BSU_13670,mhqR,1432233,1
1067,BSU_13680,motB,1435279,-1
1069,BSU_13700,clpE,1437808,-1
1070,BSU_13710,ykvI,1438046,1
1071,BSU_13720,queC,1439229,1
1072,BSU_13760,ykvN,1442751,-1
1073,BSU_13770,ykvO,1442793,1
1074,BSU_13780,ykvP,1444047,1
1076,BSU_13790,ykvQ,1444208,1
1077,new_1446289_1447115_c,S498,1447126,-1
1079,new_1446841_1447052,S499,1446841,1
1080,BSU_13800,ykvR,1447215,1
1081,BSU_13810,ykvS,1447891,-1
1082,BSU_13819,ykzS,1447974,1
1084,BSU_13830,ykvU,1449201,1
1085,BSU_13840,stoA,1449225,1
1086,BSU_13850,pfeT,1451264,1
1087,BSU_13860,papB,1453646,1
1088,new_1454795_1455013_c,S503,1455013,-1
1091,BSU_13890,ptsG,1456852,1
1092,BSU_13900,ptsH,1457158,1
1093,BSU_13910,ptsI,1459340,1
1094,BSU_13920,splA,1461437,1
1096,BSU_13940,ykwB,1463526,-1
1097,BSU_13950,mcpC,1463614,1
1098,BSU_13960,ykwC,1465667,1
1099,BSU_13970,ykwD,1467453,-1
1100,BSU_13980,pbpH,1467699,1
1101,BSU_13990,kinA,1469969,1
1102,BSU_14000,patA,1473082,-1
1103,BSU_14009,ykzT,1473126,-1
1104,BSU_14010,cheV,1473573,1
1105,BSU_14020,kre,1475064,-1
1106,BSU_14030,ykuC,1476470,-1
1107,BSU_14040,ldt,1477032,-1
1108,BSU_14050,ykuE,1477963,-1
1109,BSU_14060,fadH,1478034,1
1111,BSU_14072,ykzU,1478987,1
1112,BSU_14080,ykuH,1481515,1
1113,new_1483539_1483640,fsrA,1483539,1
1114,BSU_14100,ykuJ,1483671,1
1116,BSU_14120,abbA,1483957,1
1118,BSU_14140,ccpC,1484046,1
1119,BSU_14150,ykuN,1486997,1
1120,BSU_14180,ykuQ,1488929,1
1121,BSU_14190,ykuR,1490911,1
1122,BSU_14210,ykuT,1492084,-1
1123,BSU_14220,ahpA,1492169,1
1124,BSU_14240,rok,1493734,1
1125,BSU_14250,yknT,1495388,-1
1126,BSU_14260,mobA,1494737,1
1127,BSU_14270,moeB,1495464,1
1128,BSU_14320,yknU,1499740,1
1129,BSU_14330,yknV,1499840,1
1130,BSU_14340,yknW,1503557,1
1131,BSU_14380,fruR,1507375,1
1132,BSU_14390,fruK,1507447,1
1133,BSU_14400,fruA,1507540,1
1134,BSU_14410,sipT,1511253,1
1135,BSU_14420,ykoA,1512258,-1
1136,BSU_14430,ykpA,1512333,1
1138,BSU_14450,ampS,1516271,-1
1139,BSU_14460,ykpC,1516506,-1
1140,BSU_14470,mreBH,1517627,-1
1141,BSU_14480,abh,1517802,1
1142,new_1518175_1519804_c,S526,1519816,-1
1143,BSU_14490,kinC,1518308,1
1145,BSU_14520,adeC,1521320,1
1146,BSU_14530,rnjA,1525039,-1
1147,BSU_14540,rpoY,1525239,-1
1148,BSU_14550,ykrA,1525348,1
1149,BSU_14560,defB,1526781,-1
1151,BSU_14570,ykyA,1527054,1
1152,BSU_14580,pdhA,1528100,1
1153,BSU_14590,pdhB,1528255,1
1154,BSU_14600,pdhC,1530453,1
1155,BSU_14610,pdhD,1530706,1
1156,BSU_14620,slp,1533742,-1
1157,BSU_misc_RNA_70,srrA,1533936,1
1158,BSU_14629,sr1,1534051,1
1159,BSU_14630,speA,1535847,-1
1160,BSU_14640,yktA,1535876,1
1161,BSU_14650,yktB,1536918,-1
1162,BSU_14660,ykzI,1536965,1
1163,BSU_14670,yktC,1537394,1
1164,BSU_14690,yktD,1539758,-1
1165,BSU_14700,nprE,1541647,-1
1166,BSU_14710,ylaA,1541862,1
1167,BSU_14720,ylaB,1544087,1
1168,BSU_14750,ylaE,1545588,-1
1169,BSU_14760,ylaF,1546047,-1
1170,BSU_14770,ylaG,1546082,1
1171,BSU_14790,ylaI,1548627,-1
1172,BSU_14800,ylaJ,1549218,-1
1173,BSU_14810,ylaK,1549383,1
1174,BSU_14820,ylaL,1551322,-1
1176,BSU_14840,ylaN,1551908,1
1177,BSU_14850,ftsW,1552772,1
1178,BSU_14860,pycA,1554158,1
1179,BSU_14870,ctaA,1558982,-1
1180,BSU_14880,ctaB,1559111,1
1183,BSU_14910,ctaE,1559218,1
1186,BSU_14940,ylbA,1565745,-1
1187,BSU_14950,ylbB,1565755,1
1188,BSU_14960,ylbC,1565905,1
1189,BSU_14970,ylbD,1567621,1
1190,BSU_14990,ylbF,1568394,1
1192,BSU_misc_RNA_23,ylbH_csfG,1569427,1
1193,new_1569226_1569349_c,csfG,1569357,-1
1194,BSU_15030,spoVV,1571901,-1
1195,BSU_15040,ylbK,1571851,1
1196,BSU_15050,ddcP,1572574,1
1197,BSU_15060,tmcAL,1575137,-1
1198,BSU_15069,ylzH,1576006,-1
1199,BSU_15070,ylbN,1574995,1
1200,BSU_15080,rpmF,1575098,1
1201,BSU_15090,gerR,1576086,1
1202,BSU_15100,ylbP,1577291,-1
1203,BSU_15110,ylbQ,1577385,1
1205,BSU_15130,mraZ,1580047,1
1206,new_1581224_1582676_c,S555,1582676,-1
1207,BSU_15170,spoVD,1584186,1
1208,BSU_15180,murE,1585977,1
1211,BSU_15210,spoVE,1586241,1
1214,BSU_15240,divIB,1590117,1
1217,BSU_15270,sbp,1590255,1
1218,BSU_15280,ftsA,1596336,1
1220,BSU_15300,bpr,1599179,1
1221,new_1603592_1604734_c,S562,1603744,-1
1222,BSU_15310,spoIIGA,1603734,1
1223,BSU_15320,sigE,1605600,1
1224,BSU_15340,ylmA,1606506,1
1225,BSU_15350,ylmB,1607298,1
1226,BSU_15360,ylmC,1608882,1
1227,BSU_15370,ylmD,1609277,1
1229,BSU_15420,divIVA,1612187,1
1230,BSU_15430,ileS,1613056,1
1231,BSU_15440,ylyA,1616224,1
1232,BSU_15450,lspA,1616692,1
1237,BSU_15480,pyrP,1618154,1
1241,BSU_15570,cysH,1630103,1
1242,BSU_15580,cysP,1634762,1
1243,BSU_15640,rqcH,1637885,-1
1244,BSU_15650,yloB,1637910,1
1247,BSU_15680,gmk,1640646,1
1249,BSU_15700,yloI,1646367,1
1250,new_1643910_1644485_c,S572,1644485,-1
1251,BSU_15770,prkC,1653033,1
1252,BSU_15810,spoVM,1655152,1
1253,BSU_15820,rpmB,1655880,-1
1254,BSU_15830,yloU,1655960,1
1255,BSU_15840,fakA,1656025,1
1256,BSU_15850,sdaAB,1658195,1
1257,BSU_15880,fapR,1661937,1
1259,BSU_15900,fabD,1665309,1
1260,BSU_15930,rnc,1665639,1
1262,BSU_15950,ftsY,1666541,1
1263,BSU_15960,sivC,1671689,-1
1264,BSU_15970,ylxM,1671791,1
1268,BSU_16030,trmD,1675933,1
1269,BSU_16050,rbgA,1676463,1
1271,BSU_16070,ylqG,1677431,1
1273,BSU_16090,sucC,1680380,1
1277,BSU_16130,trmFO,1685780,1
1278,BSU_16140,codV,1687163,1
1279,BSU_16150,clpQ,1687243,1
1280,BSU_16180,flgB,1691052,1
1281,BSU_16190,flgC,1691214,1
1282,BSU_16210,fliF,1716477,1
1283,BSU_16490,rpsB,1717808,1
1285,BSU_16530,uppS,1721108,1
1286,BSU_16540,cdsA,1722813,1
1287,BSU_misc_RNA_71,surG,1731513,1
1288,BSU_16590,ylxS,1731599,1
1289,BSU_16600,nusA,1736069,1
1290,BSU_16670,ribC,1737630,1
1291,BSU_16680,rpsO,1738824,1
1292,BSU_16690,pnpA,1739325,1
1293,BSU_16710,mlpA,1742207,1
1294,BSU_16720,ymxH,1743890,1
1295,BSU_16730,spoVFA,1744314,1
1296,BSU_16740,spoVFB,1745936,1
1297,BSU_16750,asd,1745970,1
1298,new_1748711_1749895_c,S601,1749899,-1
1299,BSU_16780,rnjB,1749377,1
1300,BSU_16790,tepA,1751161,1
1301,BSU_16800,spoIIIE,1752193,1
1303,BSU_16825,ymfD,1755585,1
1305,BSU_16860,ymfH,1756968,1
1306,BSU_16880,ymfJ,1760417,1
1307,BSU_16890,ymfK/1,1760797,1
1308,BSU_16900,ymfK/2,1761830,1
1310,BSU_16940,recA,1764614,1
1311,BSU_16950,pbpX,1765815,1
1312,BSU_16960,rny,1767136,1
1314,BSU_16980,spoVS,1769531,1
1315,BSU_16990,tdh,1770412,1
1316,BSU_17010,ymcB,1772787,1
1317,BSU_17030,cotE,1774973,1
1318,BSU_17040,mutS,1775692,1
1320,new_1780399_1780532,ncr952,1780399,1
1321,BSU_17060,ymzD,1781165,-1
1322,BSU_17070,ymcC,1781905,-1
1323,BSU_17080,pksA,1781894,1
1324,BSU_17090,pksB,1782643,1
1326,BSU_17230,pksS,1859838,-1
1327,BSU_17240,ymzB,1860435,-1
1328,BSU_17250,ymaE,1861311,-1
1329,BSU_17260,aprX,1862738,-1
1330,BSU_17266,ymzE/1,1862898,1
1331,BSU_17270,pghC,1863384,1
1332,BSU_17280,ymaD,1864190,1
1333,BSU_17290,ebrB,1865427,-1
1334,BSU_17310,ymaG,1865827,-1
1335,BSU_17320,ymaF,1865824,1
1336,BSU_17330,miaA,1866340,1
1337,BSU_17340,hfq,1867334,1
1338,BSU_17360,ymzA,1868101,1
1341,BSU_17390,nrdF,1868569,1
1343,new_1872786_1873153,S623,1872786,1
1344,BSU_17410,cwlC,1873592,-1
1345,BSU_17420,spoVK,1874073,1
1346,BSU_17430,ynbA,1875250,1
1349,BSU_17460,glnA,1877935,1
1350,BSU_17470,ynxB,1880043,1
1351,BSU_17500,ynaB,1881406,1
1353,BSU_17520,ynaD,1883135,1
1354,BSU_17530,ynaE,1884125,1
1355,BSU_17570,xynP,1887031,1
1356,new_1888890_1889195_c,S632,1889195,-1
1357,BSU_17590,xylR,1891743,-1
1358,BSU_17600,xylA,1891737,1
1360,BSU_17620,yncB,1896059,-1
1361,BSU_17630,yncC,1896225,1
1362,BSU_17640,yncD,1899209,-1
1363,BSU_17650,yncE,1899547,1
1364,new_1900570_1900855_c,S641,1900855,-1
1365,BSU_17670,cotU,1901408,-1
1367,BSU_17680,thyA,1902168,1
1368,new_1903330_1903490,S645,1903319,1
1369,BSU_17690,yncM,1904266,-1
1370,BSU_17699,ynzK,1904790,-1
1371,BSU_17700,cotC,1905221,-1
1372,BSU_17710,tatAC,1905540,-1
1374,BSU_17730,yndB,1906752,-1
1375,BSU_17750,yndD,1907351,1
1376,BSU_17780,yndG,1911492,1
1377,new_1912142_1913240_c,S651,1913240,-1
1378,new_1915001_1915132_c,surA,1915132,-1
1379,BSU_17820,pghL,1915124,1
1380,BSU_17830,yndM,1916552,-1
1381,BSU_17840,fosB,1916636,1
1382,new_1917432_1917610,ncrF,1917432,1
1383,BSU_17850,lexA,1918301,-1
1384,BSU_17860,yneA,1918355,1
1385,BSU_17870,yneB,1919432,1
1386,BSU_17890,tkt,1919830,1
1387,new_1921866_1922524_c,S661,1922524,-1
1388,BSU_17900,sirA,1921964,1
1390,BSU_17920,ynzD,1923059,-1
1391,BSU_17930,ccdA,1923130,1
1392,BSU_17940,yneI,1923997,1
1393,BSU_17950,yneJ,1924447,1
1394,BSU_17960,yneK,1925451,-1
1395,new_1925528_1925637,S665,1925528,1
1396,BSU_17970,cotM,1926048,-1
1397,BSU_17980,sspP,1926464,-1
1398,BSU_17990,sspO,1926704,-1
1399,BSU_18000,citB,1925915,1
1401,BSU_18019,ynzL,1930038,1
1402,BSU_18020,sspN,1930249,1
1403,BSU_18030,tlp,1930250,1
1404,BSU_18040,yneP,1930742,1
1405,BSU_18060,yneR,1931874,-1
1407,BSU_18080,yneT,1932634,1
1408,BSU_18090,parE,1933162,1
1409,BSU_18110,ynfC,1938452,-1
1410,BSU_18120,alsT,1938847,1
1411,new_1940412_1941158_c,S675,1941180,-1
1412,BSU_18130,bglC,1940572,1
1413,BSU_18150,xynC,1945977,-1
1414,BSU_18170,yngA,1946230,1
1415,BSU_18180,yngB,1947220,1
1416,BSU_18200,nrnB,1949584,-1
1417,BSU_18210,yngE,1957383,-1
1418,BSU_18280,yngK,1959597,-1
1419,BSU_18290,yngL,1960122,-1
1420,BSU_18300,ppsE,1998066,-1
1421,BSU_18350,dacC,2000867,-1
1422,BSU_18370,yoeA,2002456,-1
1423,BSU_18380,iseA,2002172,1
1424,BSU_18390,yoeC,2004000,-1
1425,BSU_18400,yoeD,2004530,-1
1426,BSU_18410,ggt,2004632,1
1427,BSU_18420,yofA,2007464,-1
1428,BSU_18440,gltB,2014688,-1
1430,BSU_18460,gltC,2013153,1
1431,BSU_18470,proJ,2017746,-1
1432,BSU_18480,proH,2017809,-1
1433,BSU_18490,rtp,2018312,-1
1434,BSU_18500,yoxD,2019317,-1
1435,BSU_18510,yoxC,2019396,1
1437,BSU_18530,yoaA,2020568,1
1438,BSU_18540,yoaB,2025291,-1
1439,BSU_18570,yoaE,2025358,1
1441,BSU_18590,yoaG,2028675,-1
1443,BSU_18610,yoaH,2031202,-1
1444,BSU_18620,yoaI,2031390,1
1445,BSU_18630,yoaJ,2033679,-1
1446,BSU_18660,yoaM,2036012,1
1447,BSU_18669,yozS,2037470,-1
1448,BSU_18670,oxdD,2038809,-1
1449,BSU_18700,yoaQ,2040654,1
1450,BSU_18709,yozT,2042856,-1
1452,BSU_18730,yoaS,2043139,1
1453,BSU_18780,yoaW,2047439,-1
1454,BSU_18800,penP,2048471,1
1455,BSU_18820,yobB,2050649,1
1456,BSU_18830,pps,2054039,-1
1457,new_2053985_2054612,ncr1015,2053985,1
1458,BSU_18840,xynA,2055338,-1
1459,BSU_18849,yozV,2056154,-1
1460,BSU_18850,yobD,2056242,1
1461,BSU_18890,yobF,2059497,-1
1462,BSU_18908,yozY,2060778,1
1463,BSU_18909,yozZ,2061526,1
1464,BSU_18910,rapK,2062097,1
1466,BSU_18930,yobH,2065456,-1
1467,BSU_18960,yozM,2064984,1
1468,BSU_18970,yobI,2069174,-1
1470,BSU_misc_RNA_74,SR5,2070118,-1
1471,new_2069824_2069977,SR5,2069802,1
1473,BSU_18980,yobJ,2071114,-1
1474,BSU_19000,yobL,2073596,-1
1475,BSU_19010,yobM,2074617,-1
1476,BSU_19020,yobN,2074310,1
1477,BSU_19030,yobO,2076113,1
1478,new_2079086_2079196,bsrF,2079086,1
1479,BSU_19040,csaA,2081141,-1
1480,BSU_19050,yobQ,2082484,-1
1481,BSU_19060,yobR,2082528,-1
1482,BSU_19090,yobU,2083056,-1
1483,BSU_19100,yobV,2084046,-1
1484,BSU_19110,yobW,2084109,1
1485,BSU_19120,czrA,2085141,-1
1486,BSU_19130,yocA,2085247,1
1487,BSU_19140,yozB,2086653,-1
1488,BSU_19150,yocB,2087566,-1
1489,BSU_19160,yocC,2087648,1
1490,BSU_19170,yocD,2088221,1
1491,BSU_19180,des,2089368,1
1492,BSU_19190,desK,2090526,1
1493,new_2092326_2092824_c,S731,2092824,-1
1494,new_2092817_2093011,S732,2092817,1
1495,new_2093013_2093780,S733,2093802,1
1496,BSU_19220,recQ,2096111,-1
1497,BSU_misc_RNA_32,bsrB,2097023,-1
1499,BSU_19240,yocK,2097641,-1
1500,BSU_19259,yoyB,2098062,1
1501,BSU_19260,yocM,2098895,-1
1503,BSU_19280,yocN,2098839,1
1504,BSU_19290,yozO,2099863,-1
1505,BSU_19300,yozC,2100389,-1
1506,BSU_19310,dhaS,2100442,1
1507,BSU_19320,sqhC,2102141,1
1508,BSU_19340,yocR,2106314,-1
1509,BSU_19350,yocS,2106410,1
1510,BSU_19360,odhB,2111722,-1
1511,BSU_19380,yojO,2114697,-1
1512,BSU_19400,yojM,2116745,-1
1513,BSU_19410,cwlS,2116967,-1
1514,BSU_19420,yojK,2118309,-1
1515,BSU_19430,cdaS,2119278,-1
1516,BSU_19440,yojI,2119166,1
1517,BSU_19450,rsbRC,2119223,1
1518,BSU_19460,bshB2,2122979,-1
1519,BSU_19470,yojF,2123947,-1
1522,BSU_19490,gerT,2123784,1
1523,BSU_19510,yojB,2124803,-1
1524,BSU_19520,yojA,2126327,-1
1525,BSU_19530,yodA,2126441,1
1526,BSU_19540,yodB,2127774,-1
1527,BSU_19550,yodC,2127736,1
1528,BSU_19560,mhqD,2130025,-1
1529,BSU_19570,mhqE,2131116,-1
1530,BSU_19579,yoyD,2130134,1
1531,BSU_19590,ctpA,2133342,-1
1532,BSU_19600,yodH,2133437,1
1533,BSU_19610,yodI,2134208,1
1534,BSU_19620,ldcB,2136261,-1
1535,BSU_19639,yoyE,2136357,1
1536,BSU_19640,yodL,2136880,-1
1537,BSU_19650,pgpB,2137617,-1
1538,BSU_19660,yozD,2137813,-1
1539,BSU_19669,yoyF,2137858,1
1540,BSU_19670,yodN,2138750,-1
1541,BSU_19680,yozE,2139145,-1
1542,BSU_19689,yokU,2145725,-1
1543,BSU_19749,yoyG,2145967,-1
1544,BSU_19750,cgeE,2148498,-1
1545,BSU_19760,cgeD,2148651,-1
1547,BSU_19780,cgeA,2148646,1
1548,BSU_19800,phy,2151291,-1
1549,BSU_19810,yodU,2151585,1
1550,BSU_19830,yotM,2152299,-1
1551,BSU_19840,yotL,2157231,1
1552,BSU_19850,yotK,2152890,-1
1554,BSU_19950,sspC,2156199,1
1555,BSU_20000,yosU,2158408,1
1556,BSU_20010,yosT,2159200,-1
1557,BSU_20040,yosP,2161799,-1
1558,BSU_misc_RNA_33,srdEi,2164645,-1
1559,BSU_20190,yosA,2169773,1
1560,BSU_20320,yorN,2174792,-1
1561,BSU_20420,yorD,2187336,-1
1562,BSU_20430,yorC,2188165,-1
1564,BSU_20450,yorA,2190288,-1
1565,BSU_20460,pghZ,2190695,-1
1566,BSU_20490,yoqW,2190661,1
1567,BSU_20560,yoqO,2195135,1
1568,BSU_20580,yoqM,2195940,1
1569,BSU_20770,yopT,2203983,-1
1570,BSU_20780,yopS,2203731,1
1571,BSU_20790,yopR,2206623,-1
1572,BSU_20800,yopQ,2208581,-1
1573,new_2208373_2208745,S784,2208373,1
1574,BSU_20850,aimP,2208955,-1
1575,BSU_20860,aimR,2210202,-1
1576,BSU_20920,yopE,2212519,-1
1577,BSU_20928,yoyH,2212531,1
1578,BSU_20940,yopC,2214961,-1
1579,BSU_20960,yopA,2216813,-1
1580,BSU_20970,yonX,2217689,-1
1581,BSU_20980,yonV,2219999,-1
1582,BSU_20990,yonU,2219493,-1
1583,BSU_20999,yoyJ,2219778,-1
1584,BSU_misc_RNA_90,apbT,2219732,1
1586,BSU_21010,yonS,2221418,-1
1587,new_2221639_2221791,S796,2221639,1
1588,new_2221793_2222297,S797,2221793,1
1589,BSU_21030,yonP,2222299,1
1591,BSU_21080,yonI,2229202,-1
1592,BSU_21100,yonG,2229955,1
1593,BSU_21310,yozP,2246517,-1
1594,BSU_21330,yomK,2247862,1
1595,BSU_21340,yomJ,2248391,1
1596,BSU_21430,bhlB,2265111,1
1597,BSU_21450,yolJ,2269675,-1
1598,BSU_21460,bdbA,2269754,-1
1601,BSU_21490,sunI,2270347,-1
1602,BSU_21500,uvrX,2272010,-1
1603,BSU_21520,yolC,2272107,1
1604,BSU_21530,yolB,2273173,-1
1605,BSU_21540,yolA,2273404,-1
1606,new_2273515_2273748,bsrG,2273383,1
1607,BSU_21546,bsrG,2273427,1
1608,new_2273801_2274302,S811,2273801,1
1609,BSU_21550,yokL,2277463,-1
1610,BSU_21600,yokG,2279729,-1
1611,BSU_21610,yokF,2279919,1
1612,BSU_21630,yokD,2281501,1
1613,BSU_21640,yokC,2283755,-1
1614,BSU_21650,yokB,2284613,-1
1615,BSU_21660,sprA,2284713,1
1616,BSU_21670,ypqP,2286429,1
1617,BSU_21690,msrA,2288110,-1
1618,BSU_21700,ypoP,2288083,1
1619,BSU_21730,ypmS,2291666,-1
1620,BSU_21760,ypmP,2292720,-1
1621,BSU_21770,ilvA,2294090,-1
1622,BSU_21780,yplP,2294247,1
1623,BSU_21810,dfrA,2299197,-1
1625,new_2298463_2299409,S821,2298465,1
1626,BSU_21860,brxA,2300695,-1
1627,BSU_21870,ilvD,2302629,-1
1628,BSU_21880,ypgR,2303885,-1
1629,BSU_21890,ypgQ,2305184,-1
1630,BSU_21910,metA,2305261,1
1632,new_2306683_2307712_c,S827,2307712,-1
1633,BSU_21930,cspD,2307814,1
1634,BSU_21940,degR,2308403,-1
1635,BSU_21950,ypzA,2308482,1
1636,BSU_21970,ypeP,2309786,-1
1637,BSU_21980,ypdP,2309687,1
1638,BSU_22000,sspL,2310846,1
1639,BSU_22010,exoR,2311914,-1
1640,BSU_22019,ypzF,2312156,-1
1641,BSU_22020,ypbS,2312499,-1
1642,BSU_22030,dynA,2316182,-1
1643,BSU_22040,bpsB,2318074,-1
1644,BSU_22060,pbuX,2320210,-1
1645,BSU_22080,ypwA,2321836,-1
1646,BSU_22090,kdgT,2325682,-1
1647,BSU_22130,kduI,2325774,1
1648,BSU_22150,ypvA,2329448,-1
1649,BSU_22160,yptA,2329734,-1
1650,BSU_22169,ypzG,2329803,1
1651,BSU_22170,ypsC,2331735,-1
1652,BSU_misc_RNA_35,rnpB,2332110,-1
1654,BSU_22200,cotD,2333042,-1
1656,BSU_22210,mrfB,2334288,-1
1657,BSU_22220,mrfA,2336862,-1
1658,BSU_22230,ptsA,2337500,-1
1659,BSU_22240,ypqA,2337558,1
1660,BSU_22250,yppG,2338443,-1
1661,BSU_22260,yppF,2338539,1
