,locus_tag,name,left,right,strand,tss,sigma_factor,box_10_left,box_10_right,box_35_left,box_35_right
829,BSU_10570,yhjN,1130918,1132072,-1,1132143,A,1132123,1132141,1132100,1132118
830,BSU_10590,yhjP,1133498,1135225,1,1133410,A,1133391,1133409,1133365,1133383
831,BSU_10600,yhjQ,1135255,1135581,-1,1136171,K,1136153,1136171,1136127,1136145
833,BSU_10620,addB,1136320,1139820,1,1136292,A,1136272,1136290,1136247,1136265
835,BSU_10650,sbcC,1144749,1148141,1,1147424,"F, G",1147406,1147424,1147381,1147399
836,BSU_10670,gerPF,1148494,1148712,-1,1150514,K,1150496,1150514,1150470,1150488
837,new_1150464_1151119,S381,1150464,1151119,1,1150464,A,1150445,1150463,1150419,1150437
838,BSU_10730,yisI,1150850,1151020,-1,1151067,A,1151048,1151066,1151023,1151041
839,BSU_10740,yisJ,1151166,1152089,-1,1152122,K,1152103,1152121,1152079,1152097
840,BSU_10750,yisK,1152244,1153149,1,1152198,H,1152180,1152198,1152154,1152172
842,BSU_10770,wprA,1153789,1156473,1,1153742,A,1153723,1153741,1153698,1153716
843,BSU_10780,yisN,1156504,1157091,-1,1157125,"E, F",1157106,1157124,1157081,1157099
844,BSU_10790,asnO,1157237,1159081,1,1157182,"E, F",1157164,1157182,1157139,1157157
845,BSU_10800,bstH,1159211,1159690,-1,1159710,H,1159690,1159708,1159665,1159683
846,BSU_10810,yisP,1159922,1160746,1,1159899,A,1159879,1159897,1159855,1159873
847,BSU_10830,yisR,1162267,1163130,1,1162208,A,1162190,1162208,1162163,1162181
848,BSU_10850,iolX,1164370,1165398,1,1164254,A,1164236,1164254,1164210,1164228
849,BSU_10860,bstC,1165449,1165958,-1,1165987,H,1165969,1165987,1165944,1165962
850,BSU_10880,yisV,1166737,1168191,1,1166718,A,1166698,1166716,1166675,1166693
851,BSU_10890,yisX,1168199,1168837,-1,1168972,A,1168953,1168971,1168927,1168945
852,BSU_10900,yisY,1169043,1169849,1,1168908,"E, F",1168890,1168908,1168863,1168881
853,BSU_10910,yisZ,1169877,1170476,-1,1172512,K,1172494,1172512,1172468,1172486
854,BSU_10940,yitC,1172650,1173336,1,1172620,"E, K",1172602,1172620,1172576,1172594
855,BSU_10960,yitE,1174136,1174765,-1,1174816,"E, F",1174796,1174814,1174773,1174791
856,BSU_10970,yitF,1174861,1175976,-1,1177273,"F, G",1177253,1177271,1177228,1177246
857,BSU_10990,yitH,1177365,1178213,-1,1178702,A,1178683,1178701,1178657,1178675
858,BSU_11010,yitJ,1178757,1180595,-1,1180868,A,1180849,1180867,1180823,1180841
859,BSU_11020,yitK,1180909,1181400,-1,1181442,A,1181423,1181441,1181398,1181416
860,BSU_11030,yitL,1181499,1182395,1,1181437,A,1181419,1181437,1181392,1181410
861,BSU_11040,yitM,1182448,1183032,-1,1183116,A,1183097,1183115,1183071,1183089
862,BSU_11055,yitO,1183029,1183958,-1,1184529,A,1184510,1184528,1184486,1184504
863,BSU_11079,yizB,1184657,1185004,1,1184645,A,1184626,1184644,1184601,1184619
865,BSU_11110,yitS,1187700,1188551,-1,1188615,A,1188596,1188614,1188572,1188590
866,BSU_11120,yitT,1188689,1189531,1,1188127,A,1188107,1188125,1188084,1188102
867,BSU_11130,ipi,1189646,1190005,1,1188652,B,1188632,1188650,1188607,1188625
868,BSU_11139,yizC,1190036,1190233,-1,1190430,"F, G",1190412,1190430,1190385,1190403
869,BSU_11140,yitU,1190490,1191302,-1,1191360,A,1191340,1191358,1191316,1191334
870,BSU_11150,yitV,1191423,1192190,1,1191381,A,1191361,1191379,1191338,1191356
871,BSU_11160,yitW,1192254,1192562,1,1192219,A,1192200,1192218,1192174,1192192
872,BSU_11190,argC,1195034,1196071,1,1194971,A,1194952,1194970,1194926,1194944
874,BSU_11210,argB,1197326,1198102,1,1195002,A,1194984,1195002,1194959,1194977
876,BSU_11260,yjzC,1204506,1204685,1,1204490,"F, G",1204472,1204490,1204445,1204463
877,BSU_11270,yjzD,1204731,1204916,-1,1204962,A,1204943,1204961,1204919,1204937
878,BSU_11280,yjaU,1205165,1205899,1,1205040,A,1205021,1205039,1204995,1205013
879,new_1205658_1206260_c,S400,1205658,1206260,-1,1206260,?,1206240,1206258,1206215,1206233
882,BSU_11310,comZ,1207597,1207788,1,1205106,K,1205088,1205106,1205063,1205081
883,BSU_11320,yjzB,1207818,1208057,-1,1208091,K,1208072,1208090,1208046,1208064
884,BSU_11330,fabHA,1208222,1209160,1,1208154,A,1208136,1208154,1208109,1208127
886,BSU_11350,yjaZ,1210500,1211285,1,1210473,K,1210454,1210472,1210430,1210448
887,BSU_11360,appD,1211477,1212463,1,1211372,A,1211354,1211372,1211328,1211346
890,BSU_11382,appA/2,1214001,1215167,1,1213460,?,1213442,1213460,1213417,1213435
893,BSU_11410,yjbA,1217326,1218078,1,1217289,"E, F",1217270,1217288,1217245,1217263
894,BSU_11420,trpS,1218113,1219105,-1,1219410,A,1219392,1219410,1219366,1219384
895,BSU_11430,oppA,1219849,1221486,1,1219687,A,1219668,1219686,1219642,1219660
898,BSU_11480,yjbB,1225557,1226774,1,1225516,A,1225497,1225515,1225473,1225491
899,BSU_11490,yjbC,1226938,1227516,1,1226830,?,1226812,1226830,1226787,1226805
900,BSU_11500,spx,1227697,1228092,1,1226862,"W, X, Y",1226843,1226861,1226818,1226836
901,BSU_11510,yjbE,1228135,1228791,-1,1228836,"E, F",1228818,1228836,1228791,1228809
903,BSU_11520,mecA,1229068,1229724,1,1229015,A,1228995,1229013,1228972,1228990
904,BSU_11530,coiA,1229915,1231036,1,1229850,H,1229831,1229849,1229806,1229824
906,BSU_11549,yizD,1233133,1233300,-1,1233336,"E, F",1233317,1233335,1233292,1233310
907,BSU_misc_RNA_67,roxS,1233405,1233543,1,1233399,A,1233379,1233397,1233356,1233374
908,BSU_11550,yjbH,1233614,1234513,-1,1235088,A,1235069,1235087,1235043,1235061
909,new_1233877_1235778,S416,1233877,1235778,1,1233861,"E, F",1233841,1233859,1233817,1233835
910,BSU_11570,cwlQ,1235163,1235708,-1,1236066,D,1236048,1236066,1236021,1236039
911,BSU_11580,yjbK,1235912,1236484,-1,1236530,A,1236510,1236528,1236486,1236504
912,BSU_11590,yjbL,1236609,1236977,1,1236562,A,1236544,1236562,1236519,1236537
913,BSU_11640,cpaA,1240356,1242200,1,1240278,A,1240259,1240277,1240234,1240252
914,BSU_11650,tenA,1242449,1243159,1,1242229,A,1242209,1242227,1242185,1242203
915,BSU_11720,fabI,1247788,1248564,1,1247728,A,1247709,1247727,1247683,1247701
916,BSU_11730,cotO,1248665,1249348,1,1248648,"E, F",1248629,1248647,1248605,1248623
917,BSU_11740,cotZ,1249442,1249888,-1,1250543,K,1250524,1250542,1250499,1250517
918,BSU_11750,cotY,1250016,1250504,-1,1250607,"E, F",1250587,1250605,1250562,1250580
919,BSU_11760,cotX,1250656,1251174,-1,1251195,K,1251176,1251194,1251152,1251170
920,BSU_11770,cotW,1251273,1251590,-1,1252041,K,1252023,1252041,1251998,1252016
922,BSU_11790,yjcA,1252177,1252533,1,1250531,?,1250511,1250529,1250487,1250505
924,new_1252566_1252752,S423,1252566,1252752,1,1252566,K,1252547,1252565,1252523,1252541
925,BSU_11799,yjzK,1252815,1253021,1,1252801,K,1252783,1252801,1252757,1252775
926,BSU_11800,yjcB,1252858,1253073,1,1252802,K,1252784,1252802,1252757,1252775
929,BSU_11820,yjcD,1253713,1255992,-1,1256040,A,1256022,1256040,1255997,1256015
930,BSU_11839,yjzE,1256109,1256363,1,1255943,H,1255924,1255942,1255898,1255916
931,BSU_11840,yjcF,1256436,1256858,-1,1258196,A,1258178,1258196,1258152,1258170
932,BSU_11870,metI,1258492,1259613,1,1258282,A,1258264,1258282,1258237,1258255
933,BSU_11890,yjcK,1260811,1261356,-1,1262646,A,1262628,1262646,1262601,1262619
934,BSU_tRNA_83,trnSL-Val2,1262788,1262861,1,1260805,L,1260785,1260803,1260761,1260779
935,BSU_11910,yjcM,1263702,1264931,-1,1265021,A,1265002,1265020,1264976,1264994
936,BSU_11920,yjcN,1265057,1265377,1,1265007,A,1264989,1265007,1264964,1264982
937,BSU_11940,yjcP,1266614,1267117,1,1266349,A,1266331,1266349,1266306,1266324
939,BSU_11970,yjcS,1268275,1268592,1,1268269,A,1268250,1268268,1268226,1268244
940,BSU_11990,yjdB,1269733,1270080,-1,1270125,H,1270105,1270123,1270082,1270100
941,BSU_12000,manR,1270631,1272577,1,1270555,A,1270536,1270554,1270510,1270528
942,BSU_12010,manP,1272725,1274677,1,1272683,A,1272663,1272681,1272640,1272658
943,BSU_12020,manA,1274692,1275639,1,1275740,A,1275720,1275738,1275695,1275713
944,BSU_12040,yjdG,1276337,1276843,-1,1276874,A,1276855,1276873,1276829,1276847
945,BSU_12050,yjdH,1277062,1277457,-1,1277493,"E, F",1277474,1277492,1277448,1277466
946,BSU_12060,yjdI,1277686,1278165,1,1277633,A,1277614,1277632,1277589,1277607
947,BSU_12069,yjzH,1278205,1278399,-1,1278429,"W, X, Y",1278411,1278429,1278384,1278402
948,BSU_12070,yjdJ,1278565,1278894,-1,1278944,A,1278925,1278943,1278901,1278919
949,new_1279022_1279523,S444,1279022,1279523,1,1279022,A,1279004,1279022,1278979,1278997
950,BSU_12080,ctaO,1279514,1280503,-1,1280507,A,1280489,1280507,1280464,1280482
952,BSU_12090,cotT,1280626,1280874,-1,1281012,A,1280994,1281012,1280968,1280986
953,BSU_12100,pdaC,1281128,1282531,1,1281023,A,1281005,1281023,1280978,1280996
954,BSU_12110,yjfA,1282571,1283044,-1,1283084,"E, F",1283065,1283083,1283041,1283059
955,BSU_12120,yjfB,1283169,1283336,-1,1283357,D,1283338,1283356,1283312,1283330
956,BSU_12140,yjgA,1284371,1284769,-1,1284817,A,1284799,1284817,1284772,1284790
957,BSU_12150,yjgB,1284870,1285445,-1,1285479,B,1285461,1285479,1285436,1285454
958,BSU_12160,yjgC,1285591,1288548,1,1285542,B,1285522,1285540,1285497,1285515
959,BSU_12180,yjhA,1289298,1289939,1,1289259,A,1289239,1289257,1289216,1289234
961,BSU_12200,yjiA,1290675,1290953,-1,1291001,A,1290981,1290999,1290957,1290975
962,BSU_12210,yjiB,1291344,1292534,1,1291171,A,1291152,1291170,1291127,1291145
963,BSU_12229,yjzI,1293776,1293964,-1,1293993,A,1293974,1293992,1293948,1293966
964,BSU_12230,yjjA,1294138,1294950,1,1294084,A,1294064,1294082,1294040,1294058
965,BSU_12260,yjlA,1296620,1297594,-1,1297641,A,1297622,1297640,1297598,1297616
966,BSU_12270,yjlB,1297726,1298223,1,1297701,B,1297683,1297701,1297657,1297675
967,BSU_12280,yjlC,1298612,1299034,1,1298355,A,1298337,1298355,1298311,1298329
968,BSU_12300,uxaC,1300450,1301871,1,1300143,?,1300123,1300141,1300100,1300118
970,BSU_12320,yjmC,1303423,1304436,1,1300397,A,1300377,1300395,1300352,1300370
972,BSU_12340,uxuA,1305486,1306565,1,1303343,"E, F",1303324,1303342,1303300,1303318
974,BSU_12360,exuT,1307446,1308714,1,1303368,E,1303348,1303366,1303324,1303342
976,BSU_12380,uxaB,1309880,1311322,1,1308679,?,1308661,1308679,1308636,1308654
978,BSU_12400,yjnA,1312851,1313615,-1,1313661,A,1313641,1313659,1313616,1313634
979,BSU_12410,bstD,1313840,1314304,-1,1314350,A,1314332,1314350,1314306,1314324
980,BSU_12420,yjoB,1314453,1315724,1,1314424,"W, X, Y",1314404,1314422,1314381,1314399
981,BSU_12430,rapA,1315869,1317005,1,1315838,A,1315820,1315838,1315793,1315811
982,BSU_12450,yjpA,1317157,1317414,-1,1317442,A,1317422,1317440,1317399,1317417
983,BSU_12460,xlyB,1317535,1318488,1,1317497,?,1317477,1317495,1317453,1317471
984,BSU_12470,yjqA,1318528,1318905,-1,1318940,A,1318920,1318938,1318897,1318915
985,BSU_12480,pghB,1319011,1319613,1,1318443,?,1318424,1318442,1318398,1318416
986,BSU_12490,yjqC,1319690,1320526,1,1318974,A,1318955,1318973,1318931,1318949
987,BSU_12510,xre,1321329,1321670,-1,1321712,A,1321692,1321710,1321668,1321686
988,BSU_12519,yjzJ,1321848,1322027,1,1321790,A,1321770,1321788,1321747,1321765
989,BSU_12570,xtmA,1325096,1325893,1,1325005,?,1324985,1325003,1324960,1324978
992,BSU_12600,xkdF,1328702,1329529,1,1328239,K,1328221,1328239,1328194,1328212
995,BSU_12620,xkdH,1330892,1331248,1,1346693,?,1346675,1346693,1346648,1346666
996,BSU_12820,spoIISB,1348442,1348612,-1,1349210,A,1349191,1349209,1349167,1349185
997,BSU_12830,spoIISA,1348612,1349358,-1,1349397,"E, F",1349378,1349396,1349354,1349372
998,BSU_12840,pit,1349468,1350469,-1,1351137,A,1351119,1351137,1351094,1351112
999,BSU_12850,ykaA,1350482,1351099,-1,1351236,A,1351218,1351236,1351193,1351211
1000,BSU_12860,steT,1351375,1352691,-1,1352754,A,1352734,1352752,1352709,1352727
1001,BSU_12870,mhqA,1353080,1354030,1,1353011,A,1352993,1353011,1352966,1352984
1002,BSU_12880,ykcB,1354285,1356435,1,1355234,?,1355214,1355232,1355191,1355209
1003,new_1357486_1357852_c,S462,1357486,1357852,-1,1357852,"W, X, Y",1357834,1357852,1357809,1357827
1004,BSU_12900,htrA,1357936,1359285,-1,1359345,A,1359325,1359343,1359300,1359318
1005,BSU_12910,proG,1359454,1360272,1,1359345,A,1359325,1359343,1359300,1359318
1006,BSU_12920,dppA,1360401,1361225,1,1360365,A,1360345,1360363,1360322,1360340
1009,BSU_12950,dppD,1363141,1364148,1,1362890,"E, F",1362872,1362890,1362846,1362864
1012,BSU_13010,ykgB,1369876,1370925,-1,1370963,A,1370943,1370961,1370918,1370936
1013,BSU_13020,ykgA,1371015,1371875,-1,1371917,B,1371897,1371915,1371873,1371891
1014,BSU_13030,ykhA,1372035,1372553,1,1371977,A,1371957,1371975,1371932,1371950
1015,BSU_13040,hmp,1372792,1373991,1,1372636,"F, G",1372617,1372635,1372592,1372610
1017,BSU_13070,bstF,1375260,1375787,1,1375234,H,1375215,1375233,1375189,1375207
1018,BSU_13090,ykkC,1376517,1376855,1,1376313,A,1376295,1376313,1376268,1376286
1019,BSU_13110,ykkE,1377243,1378145,1,1377203,A,1377184,1377202,1377159,1377177
1020,BSU_13120,proB,1378496,1379593,1,1378226,A,1378206,1378224,1378181,1378199
1021,BSU_13130,proA,1379605,1380852,1,1378687,?,1378668,1378686,1378643,1378661
1022,BSU_13140,ohrA,1380978,1381403,1,1380951,A,1380932,1380950,1380907,1380925
1023,BSU_13150,ohrR,1381434,1381877,-1,1381910,A,1381890,1381908,1381866,1381884
1024,BSU_13160,ohrB,1382020,1382430,1,1381994,B,1381976,1381994,1381950,1381968
1026,BSU_13170,guaD,1382677,1383147,-1,1383171,A,1383153,1383171,1383128,1383146
1027,BSU_13180,metE,1383320,1385608,-1,1385671,?,1385653,1385671,1385628,1385646
1028,BSU_13190,ispA,1386024,1386983,-1,1387028,A,1387010,1387028,1386984,1387002
1029,BSU_13200,rsbRB,1387206,1388039,1,1387168,A,1387148,1387166,1387123,1387141
1030,BSU_13210,thiX,1388070,1388834,-1,1391887,A,1391867,1391885,1391843,1391861
1031,BSU_13250,ykoG,1391953,1392639,1,1391882,A,1391863,1391881,1391838,1391856
1032,BSU_13260,ykoH,1392643,1394007,1,1394737,A,1394719,1394737,1394694,1394712
1033,BSU_13290,ykzD,1395371,1395508,1,1395340,"F, G",1395322,1395340,1395296,1395314
1034,BSU_13300,mgtE,1396013,1397368,1,1395590,A,1395570,1395588,1395546,1395564
1035,BSU_13310,tnrA,1397411,1397743,-1,1397769,A,1397749,1397767,1397724,1397742
1036,BSU_13320,ykzB,1397938,1398093,1,1397909,?,1397890,1397908,1397866,1397884
1037,BSU_13330,ykoL,1398181,1398363,1,1398153,"?, A",1398134,1398152,1398109,1398127
1038,BSU_13340,ykoM,1398496,1398960,1,1398413,H,1398394,1398412,1398368,1398386
1039,BSU_13350,ykoN,1398975,1400096,-1,1400145,"F, G",1400126,1400144,1400102,1400120
1040,BSU_13360,ykoP,1400188,1400739,1,1399409,K,1399391,1399409,1399364,1399382
1041,BSU_13370,ykoQ,1400767,1401579,-1,1401553,A,1401534,1401552,1401508,1401526
1042,BSU_13380,ykoS,1401772,1403466,1,1401697,"F, G",1401679,1401697,1401654,1401672
1043,BSU_13400,ligD,1404518,1406353,-1,1407273,"F, G",1407255,1407273,1407228,1407246
1044,BSU_13420,dgcW,1407329,1409731,-1,1409781,D,1409762,1409780,1409738,1409756
1045,BSU_13430,ykoX,1409912,1410577,1,1409881,A,1409861,1409879,1409836,1409854
1047,BSU_13440,ykoY,1410654,1411628,1,1410607,A,1410589,1410607,1410564,1410582
1048,BSU_13450,sigI,1411892,1412647,1,1411776,I,1411758,1411776,1411732,1411750
1049,BSU_13460,rsgI,1412644,1413789,1,1411861,A,1411841,1411859,1411816,1411834
1050,BSU_13470,sspD,1413800,1413994,-1,1414033,"F, G",1414014,1414032,1413988,1414006
1051,BSU_13480,ykrK,1414125,1414826,-1,1414907,A,1414887,1414905,1414864,1414882
1052,BSU_13490,htpX,1414997,1415893,1,1414951,A,1414933,1414951,1414907,1414925
1053,BSU_13500,ktrD,1416067,1417416,1,1416022,A,1416003,1416021,1415978,1415996
1054,BSU_13509,ykzP,1417561,1417716,1,1417493,"F, G",1417473,1417491,1417448,1417466
1055,BSU_13510,ykzE,1417719,1417895,1,1417845,?,1417827,1417845,1417800,1417818
1056,BSU_13520,ykrP,1417938,1418960,-1,1419021,A,1419002,1419020,1418976,1418994
1057,BSU_13530,kinE,1419213,1421429,1,1419165,H,1419147,1419165,1419122,1419140
1058,BSU_13550,mtnA,1422172,1423233,-1,1424721,A,1424703,1424721,1424678,1424696
1059,BSU_13570,mtnU,1424767,1425546,-1,1425576,A,1425558,1425576,1425532,1425550
1060,BSU_13580,mtnE,1425641,1426837,1,1424791,A,1424771,1424789,1424746,1424764
1061,BSU_13590,mtnW,1427061,1428278,1,1426857,A,1426837,1426855,1426812,1426830
1062,BSU_13600,mtnX,1428275,1428982,1,1426876,A,1426857,1426875,1426831,1426849
1063,BSU_13630,ykvA,1430161,1430481,-1,1430570,A,1430550,1430568,1430527,1430545
1064,BSU_13640,spo0E,1430684,1430941,1,1430538,B,1430518,1430536,1430493,1430511
1065,BSU_13660,kinD,1431486,1433006,-1,1433035,A,1433015,1433033,1432991,1433009
1066,BSU_13670,mhqR,1433199,1433636,1,1432233,"F, G",1432213,1432231,1432190,1432208
1067,BSU_13680,motB,1433676,1434461,-1,1435279,D,1435260,1435278,1435234,1435252
1069,BSU_13700,clpE,1435628,1437727,-1,1437808,A,1437789,1437807,1437765,1437783
1070,BSU_13710,ykvI,1438092,1439135,1,1438046,"E, F",1438027,1438045,1438002,1438020
1071,BSU_13720,queC,1439448,1440107,1,1439229,A,1439210,1439228,1439185,1439203
1072,BSU_13760,ykvN,1442347,1442703,-1,1442751,A,1442732,1442750,1442706,1442724
1073,BSU_13770,ykvO,1442872,1443618,1,1442793,A,1442775,1442793,1442750,1442768
1074,BSU_13780,ykvP,1444099,1445298,1,1444047,K,1444028,1444046,1444004,1444022
1076,BSU_13790,ykvQ,1445638,1446336,1,1444208,B,1444190,1444208,1444163,1444181
1077,new_1446289_1447115_c,S498,1446289,1447115,-1,1447126,A,1447106,1447124,1447082,1447100
1079,new_1446841_1447052,S499,1446841,1447052,1,1446841,L,1446822,1446840,1446797,1446815
1080,BSU_13800,ykvR,1447251,1447541,1,1447215,A,1447197,1447215,1447171,1447189
1081,BSU_13810,ykvS,1447662,1447847,-1,1447891,A,1447872,1447890,1447848,1447866
1082,BSU_13819,ykzS,1448013,1448207,1,1447974,A,1447954,1447972,1447931,1447949
1084,BSU_13830,ykvU,1449250,1450587,1,1449201,"E, F",1449181,1449199,1449157,1449175
1085,BSU_13840,stoA,1450638,1451135,1,1449225,E,1449205,1449223,1449181,1449199
1086,BSU_13850,pfeT,1451371,1453284,1,1451264,A,1451246,1451264,1451220,1451238
1087,BSU_13860,papB,1453691,1454782,1,1453646,A,1453628,1453646,1453601,1453619
1088,new_1454795_1455013_c,S503,1454795,1455013,-1,1455013,A,1454994,1455012,1454968,1454986
1091,BSU_13890,ptsG,1457187,1459286,1,1456852,A,1456834,1456852,1456807,1456825
1092,BSU_13900,ptsH,1459384,1459650,1,1457158,"F, G",1457138,1457156,1457113,1457131
1093,BSU_13910,ptsI,1459650,1461362,1,1459340,A,1459321,1459339,1459297,1459315
1094,BSU_13920,splA,1461453,1461692,1,1461437,"F, G",1461418,1461436,1461392,1461410
1096,BSU_13940,ykwB,1462813,1463493,-1,1463526,A,1463507,1463525,1463482,1463500
1097,BSU_13950,mcpC,1463628,1465595,1,1463614,D,1463594,1463612,1463569,1463587
1098,BSU_13960,ykwC,1465733,1466599,1,1465667,A,1465649,1465667,1465623,1465641
1099,BSU_13970,ykwD,1466638,1467411,-1,1467453,A,1467433,1467451,1467408,1467426
1100,BSU_13980,pbpH,1467748,1469862,1,1467699,A,1467681,1467699,1467654,1467672
1101,BSU_13990,kinA,1470026,1471846,1,1469969,H,1469950,1469968,1469926,1469944
1102,BSU_14000,patA,1471857,1473038,-1,1473082,A,1473063,1473081,1473038,1473056
1103,BSU_14009,ykzT,1473240,1473401,-1,1473126,"E, F",1473107,1473125,1473082,1473100
1104,BSU_14010,cheV,1473605,1474516,1,1473573,D,1473555,1473573,1473528,1473546
1105,BSU_14020,kre,1474560,1475024,-1,1475064,A,1475046,1475064,1475019,1475037
1106,BSU_14030,ykuC,1475150,1476442,-1,1476470,A,1476452,1476470,1476425,1476443
1107,BSU_14040,ldt,1476518,1477012,-1,1477032,K,1477013,1477031,1476987,1477005
1108,BSU_14050,ykuE,1477069,1477929,-1,1477963,A,1477944,1477962,1477918,1477936
1109,BSU_14060,fadH,1478072,1478836,1,1478034,A,1478014,1478032,1477990,1478008
1111,BSU_14072,ykzU,1480933,1481451,1,1478987,?,1478968,1478986,1478944,1478962
1112,BSU_14080,ykuH,1481547,1482095,1,1481515,A,1481495,1481513,1481470,1481488
1113,new_1483539_1483640,fsrA,1483556,1483640,1,1483539,A,1483520,1483538,1483494,1483512
1114,BSU_14100,ykuJ,1484117,1484356,1,1483671,"E, F",1483652,1483670,1483626,1483644
1116,BSU_14120,abbA,1485118,1485315,1,1483957,"F, G",1483937,1483955,1483912,1483930
1118,BSU_14140,ccpC,1486045,1486926,1,1484046,A,1484026,1484044,1484003,1484021
1119,BSU_14150,ykuN,1487038,1487514,1,1486997,A,1486978,1486996,1486952,1486970
1120,BSU_14180,ykuQ,1488973,1489683,1,1488929,A,1488910,1488928,1488885,1488903
1121,BSU_14190,ykuR,1489753,1490877,1,1490911,"F, G",1490892,1490910,1490867,1490885
1122,BSU_14210,ykuT,1491221,1492024,-1,1492084,A,1492065,1492083,1492039,1492057
1123,BSU_14220,ahpA,1492261,1492803,1,1492169,A,1492149,1492167,1492125,1492143
1124,BSU_14240,rok,1493787,1494362,1,1493734,A,1493714,1493732,1493690,1493708
1125,BSU_14250,yknT,1494403,1495368,-1,1495388,"E, F",1495369,1495387,1495343,1495361
1126,BSU_14260,mobA,1495505,1496104,1,1494737,A,1494717,1494735,1494694,1494712
1127,BSU_14270,moeB,1496155,1497174,1,1495464,A,1495445,1495463,1495421,1495439
1128,BSU_14320,yknU,1499889,1501646,1,1499740,"E, F",1499720,1499738,1499696,1499714
1129,BSU_14330,yknV,1501658,1503472,1,1499840,A,1499820,1499838,1499795,1499813
1130,BSU_14340,yknW,1503582,1504277,1,1503557,"W, X, Y",1503538,1503556,1503514,1503532
1131,BSU_14380,fruR,1507578,1508333,1,1507375,"F, G",1507355,1507373,1507331,1507349
1132,BSU_14390,fruK,1508330,1509241,1,1507447,A,1507429,1507447,1507402,1507420
1133,BSU_14400,fruA,1509256,1511163,1,1507540,A,1507521,1507539,1507496,1507514
1134,BSU_14410,sipT,1511308,1511889,1,1511253,A,1511235,1511253,1511209,1511227
1135,BSU_14420,ykoA,1511923,1512192,-1,1512258,A,1512238,1512256,1512215,1512233
1136,BSU_14430,ykpA,1512373,1513995,1,1512333,A,1512313,1512331,1512289,1512307
1138,BSU_14450,ampS,1514997,1516229,-1,1516271,A,1516253,1516271,1516226,1516244
1139,BSU_14460,ykpC,1516339,1516473,-1,1516506,"E, F",1516488,1516506,1516461,1516479
1140,BSU_14470,mreBH,1516574,1517581,-1,1517627,I,1517607,1517625,1517583,1517601
1141,BSU_14480,abh,1517865,1518143,1,1517802,"W, X, Y",1517783,1517801,1517757,1517775
1142,new_1518175_1519804_c,S526,1518175,1519804,-1,1519816,"E, F",1519797,1519815,1519772,1519790
1143,BSU_14490,kinC,1518333,1519619,1,1518308,A,1518288,1518306,1518265,1518283
1145,BSU_14520,adeC,1521351,1523084,1,1521320,A,1521300,1521318,1521276,1521294
1146,BSU_14530,rnjA,1523118,1524785,-1,1525039,A,1525019,1525037,1524996,1525014
1147,BSU_14540,rpoY,1524791,1525000,-1,1525239,"F, G",1525221,1525239,1525195,1525213
1148,BSU_14550,ykrA,1525386,1526159,1,1525348,A,1525329,1525347,1525303,1525321
1149,BSU_14560,defB,1526195,1526749,-1,1526781,A,1526762,1526780,1526738,1526756
1151,BSU_14570,ykyA,1527231,1527902,1,1527054,?,1527036,1527054,1527010,1527028
1152,BSU_14580,pdhA,1528326,1529441,1,1528100,A,1528082,1528100,1528055,1528073
1153,BSU_14590,pdhB,1529445,1530422,1,1528255,A,1528237,1528255,1528211,1528229
1154,BSU_14600,pdhC,1530537,1531865,1,1530453,A,1530434,1530452,1530409,1530427
1155,BSU_14610,pdhD,1531870,1533282,1,1530706,A,1530688,1530706,1530663,1530681
1156,BSU_14620,slp,1533327,1533701,-1,1533742,A,1533722,1533740,1533699,1533717
1157,BSU_misc_RNA_70,srrA,1534069,1534280,1,1533936,"E, F",1533917,1533935,1533892,1533910
1158,BSU_14629,sr1,1534120,1534239,1,1534051,A,1534032,1534050,1534007,1534025
1159,BSU_14630,speA,1534279,1535751,-1,1535847,A,1535827,1535845,1535803,1535821
1160,BSU_14640,yktA,1535936,1536202,1,1535876,A,1535857,1535875,1535832,1535850
1161,BSU_14650,yktB,1536235,1536873,-1,1536918,A,1536899,1536917,1536875,1536893
1162,BSU_14660,ykzI,1537113,1537301,1,1536965,B,1536947,1536965,1536921,1536939
1163,BSU_14670,yktC,1537441,1538238,1,1537394,A,1537376,1537394,1537350,1537368
1164,BSU_14690,yktD,1538770,1539684,-1,1539758,A,1539739,1539757,1539713,1539731
1165,BSU_14700,nprE,1540036,1541601,-1,1541647,A,1541629,1541647,1541603,1541621
1166,BSU_14710,ylaA,1541886,1543826,1,1541862,YlaC,1541842,1541860,1541819,1541837
1167,BSU_14720,ylaB,1543816,1544085,1,1544087,A,1544067,1544085,1544043,1544061
1168,BSU_14750,ylaE,1544936,1545547,-1,1545588,A,1545569,1545587,1545543,1545561
1169,BSU_14760,ylaF,1545820,1546008,-1,1546047,A,1546027,1546045,1546004,1546022
1170,BSU_14770,ylaG,1546121,1547959,1,1546082,A,1546062,1546080,1546039,1546057
1171,BSU_14790,ylaI,1548389,1548598,-1,1548627,A,1548609,1548627,1548582,1548600
1172,BSU_14800,ylaJ,1548681,1549310,-1,1549218,H,1549200,1549218,1549174,1549192
1173,BSU_14810,ylaK,1549465,1550793,1,1549383,"E, F",1549363,1549381,1549339,1549357
1174,BSU_14820,ylaL,1550797,1551282,-1,1551322,A,1551303,1551321,1551277,1551295
1176,BSU_14840,ylaN,1552412,1552693,1,1551908,A,1551889,1551907,1551864,1551882
1177,BSU_14850,ftsW,1552899,1554110,1,1552772,I,1552753,1552771,1552729,1552747
