# Copies and Copyright-Notice
#
#      RegulonDB is free for academic/noncommercial use 
#
#      User is not entitled to change or erase data sets of the RegulonDB
#      database or to eliminate copyright notices from RegulonDB. Furthermore,
#      User is not entitled to expand RegulonDB or to integrate RegulonDB partly
#      or as a whole into other databank systems, without prior written consent
#      from CCG-UNAM.
#
#      Please check the license at http://regulondb.ccg.unam.mx/menu/download/full_version/terms_and_conditions.jsp
#
# Citation
#
#      Tierrafría, V. H. et al. (2022). RegulonDB 11.0: Comprehensive high-throughput datasets on transcriptional regulation in Escherichia coli K-12,
#      Microb Genom. 2022 May;8(5). doi: 10.1099/mgen.0.000833. PMID: 35584008. https://doi.org/10.1099/mgen.0.000833
#
#
# Contact
#
#      Person: RegulonDB Team
#      Web Page: http://regulondb.ccg.unam.mx/menu/about_regulondb/contact_us/index.jsp
#          (regulondb@ccg.unam.mx)
#
#
# Release: 11.1 Date: 12/12/2022
# ___________________________________________________________________________
# Created: 12/13/2022  10:04:40
#
# Columns:
#  (1) Transcription Factor (TF) Name
#  (2) Operon  regulated by TF [operon genes]
#  (3) Regulatory Function of the TF on the regulated gene (+ activator, - repressor, +- dual, ? unknown)
#  (4) Evidence that supports the existence of the TFBS
#  (5) Evidence of the function of the Regulatory interaction (RI)
#  (6) RI confidence level based on  its evidence (Values: Confirmed, Strong, Weak)
#
AaeR	aaeXAB[aaeA, aaeB, aaeX]	+	[EXP-GSELEX|W|genomic SELEX]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
CRP	idnDOTR[idnD, idnO, idnR, idnT]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
CRP	idnK[idnK]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences],[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
CRP	ivbL-ilvBN-uhpABC[ilvB, ilvN, ivbL]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[]	Strong	
CRP	kbaZ-agaVWA[agaA, agaV, agaW, kbaZ]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
CRP	lacZYA[lacA, lacY, lacZ]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins],[EXP-IMP-SITE-MUTATION|S|Site mutation]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis],]	Confirmed	
CRP	lacZYA[lacA, lacY, lacZ]	-	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins],[EXP-IMP-SITE-MUTATION|S|Site mutation]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis],]	Confirmed	
CRP	ldtB[ldtB]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences],[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
CRP	ldtB[ldtB]	-	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences],[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
CRP	lgoR[lgoR]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
CRP	lsrACDBFG-tam[lsrA, lsrB, lsrC, lsrD, lsrF, lsrG, tam]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IMP-SITE-MUTATION|S|Site mutation],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Confirmed	
CRP	lsrRK[lsrK, lsrR]	+	[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins],[EXP-IMP-SITE-MUTATION|S|Site mutation],[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins],[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis],[EXP-IMP-SITE-MUTATION|S|Site mutation]	Confirmed	
CRP	malEFGH[malE, malF, malG, malH]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins],[EXP-IMP-SITE-MUTATION|S|Site mutation],[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[]	Confirmed	
CRP	malI[malI]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences],[EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS|W|Binding of cellular extracts],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins],[EXP-IMP-SITE-MUTATION|S|Site mutation]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Confirmed	
CRP	malI[malI]	-	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins],[EXP-IMP-SITE-MUTATION|S|Site mutation]	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins],[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis],[EXP-IMP-SITE-MUTATION|S|Site mutation]	Confirmed	
CRP	malK-lamB-malM[lamB, malK, malM]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins],[EXP-IMP-SITE-MUTATION|S|Site mutation],[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[]	Confirmed	
CRP	malS[malS]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
CRP	malT[malT]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
CRP	malXY[malX, malY]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins],[EXP-IMP-SITE-MUTATION|S|Site mutation],[EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS|W|Binding of cellular extracts]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Confirmed	
CRP	manA[manA]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
CRP	manA[manA]	-	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
CRP	manXYZ[manX, manY, manZ]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS|W|Binding of cellular extracts],[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
CRP	marRAB[marA, marB, marR]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis],[EXP-IMP|W|Inferred from mutant phenotype]	Weak	
CRP	mcaS[mcaS]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
CRP	mdh[mdh]	+	[EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS|W|Binding of cellular extracts]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
CRP	melAB[melA, melB]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences],[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
CRP	melR[melR]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences],[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
CRP	metK[metK]	-	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
CRP	metY-rimP-nusA-infB-rbfA-truB-rpsO-pnp[infB, metY, nusA, pnp, rbfA, rimP, rpsO, truB]	-	[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins],[EXP-IMP-SITE-MUTATION|S|Site mutation]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Confirmed	
CRP	mglBAC[mglA, mglB, mglC]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences],[EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS|W|Binding of cellular extracts],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins],[EXP-IMP-SITE-MUTATION|S|Site mutation]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Confirmed	
CRP	mhpABCDFE[mhpA, mhpB, mhpC, mhpD, mhpE, mhpF]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS|W|Binding of cellular extracts]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
CRP	mhpR-lacI[lacI, mhpR]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
CRP	mlc-bidA[bidA, mlc]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences],[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
CRP	mlc-bidA[mlc]	-	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences],[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
CRP	modABC[modA, modB, modC]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
CRP	mpl[mpl]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences]	[]	Weak	
CRP	mtlADR[mtlA, mtlD, mtlR]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[]	Strong	
CRP	murQP-yfeW[murP, murQ]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis],[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	Strong	
CRP	mutY-yggX-mltC-nupG[nupG]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins],[EXP-IMP-SITE-MUTATION|S|Site mutation],[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences]	[,[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Confirmed	
CRP	mutY-yggX-mltC-nupG[nupG]	-	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS|W|Binding of cellular extracts],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins],[EXP-IMP-SITE-MUTATION|S|Site mutation],[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences]	[,[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Confirmed	
CRP	nadC[nadC]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
CRP	nagBAC-umpH[nagA, nagB, nagC, umpH]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins],[EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS|W|Binding of cellular extracts]	[,[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Confirmed	
CRP	nagBAC-umpH[nagA, nagB, nagC, umpH]	-	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins],[EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS|W|Binding of cellular extracts]	[,[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Confirmed	
CRP	nagE[nagE]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins],[EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS|W|Binding of cellular extracts]	[,[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Confirmed	
CRP	nagE[nagE]	-	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins],[EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS|W|Binding of cellular extracts]	[,[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Confirmed	
CRP	nanATEKQ[nanA, nanE, nanK, nanQ, nanT]	+	[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[]	Strong	
CRP	nanCMS[nanC, nanM, nanS]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
CRP	narQ[narQ]	-	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
CRP	nirBDC-cysG[cysG, nirB, nirC, nirD]	-	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
CRP	nlpD-rpoS[rpoS]	-	[EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS|W|Binding of cellular extracts],[EXP-IMP-SITE-MUTATION|S|Site mutation]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
CRP	nmpC[nmpC]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IMP-SITE-MUTATION|S|Site mutation]	[]	Strong	
CRP	nnr-tsaE-amiB-mutL-miaA-hfq-hflXKC[hflC, hflK, hflX, hfq]	-	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
CRP	nrdAB-yfaE[nrdA, nrdB, yfaE]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
CRP	nupC[nupC]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
CRP	ompA[ompA]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
CRP	ompF[ompF]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
CRP	ompR-envZ[envZ, ompR]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins],[EXP-IMP-SITE-MUTATION|S|Site mutation]	[]	Confirmed	
CRP	ompR-envZ[envZ, ompR]	-	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins],[EXP-IMP-SITE-MUTATION|S|Site mutation]	[]	Confirmed	
CRP	ompW[ompW]	-	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
CRP	osmY[osmY]	-	[COMP-HINF|W|Inferred by a human based on computational evidence],[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
CRP	oxyR[oxyR]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
CRP	paaABCDEFGHIJK[paaA, paaB, paaC, paaD, paaE, paaF, paaG, paaH, paaI, paaJ, paaK]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins],[EXP-IMP-SITE-MUTATION|S|Site mutation]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Confirmed	
CRP	paaZ[paaZ]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins],[EXP-IMP-SITE-MUTATION|S|Site mutation]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Confirmed	
CRP	pck[pck]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
CRP	pck[pck]	-	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
CRP	pdhR-aceEF-lpd[aceE, aceF, lpd, pdhR]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences],[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
CRP	pdhR-aceEF-lpd[lpd]	-	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
CRP	plaR[plaR]	-	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
CRP	pncB[pncB]	-	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
CRP	ppdD-hofBC[hofB, hofC, ppdD]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[]	Strong	
CRP	ppiA[ppiA]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
CRP	ppiA[ppiA]	-	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
CRP	preTA[preA, preT]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
CRP	proP[proP]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
CRP	proP[proP]	-	[EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS|W|Binding of cellular extracts],[EXP-IMP-SITE-MUTATION|S|Site mutation]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
CRP	prpBCDE[prpB, prpC, prpD, prpE]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins],[EXP-IMP-SITE-MUTATION|S|Site mutation]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Confirmed	
