,k_d_RNAP,k_eq_opening,k_escape
b0775,-3.7617557070667975,-2.0860697914718176,-1.989425752509489
b0776,-3.6874134924151267,-2.159766180759119,-2.0629575668004363
b0777,-3.6694535907389905,-2.1776152351640268,-2.080777868600961
b0778,-3.7070707561643985,-2.140247671573572,-2.043474839088879
b0779,-3.7382670599206005,-2.1093159502917858,-2.0126107041668666
b0781,-3.8365328977767272,-2.0124128668540457,-1.9160426430765258
b0782,-3.887635452503874,-1.9625335901117593,-1.8664460638342382
b0783,-3.823892161400579,-2.0248178914546777,-1.9283912614459604
b0784,-3.740197655120951,-2.107403765960871,-2.0107031915646516
b0785,-3.7792588808440795,-2.0687762892973343,-1.9721846119788835
b0786,-3.855765254003503,-1.9935854172598948,-1.8973106151562567
b0791,-3.6072100209110127,-2.239567506907574,-2.14265386592845
b0792,-3.4900446029420262,-2.3564350132297096,-2.259442286245541
b0793,-3.475929139700315,-2.37052839037381,-2.2735297564480934
b0794,-3.586651679880811,-2.260054494903809,-2.1631220118502603
b0795,-3.629462377465018,-2.2174049454399474,-2.1205149275018695
b0796,-3.6217322787028055,-2.225102243401846,-2.1282036078009
b0800,-3.7834137254365685,-2.0646752901488443,-1.968096976115912
b0803,-3.6064313762486138,-2.2403432571106694,-2.1434288530165735
b0805,-3.615733710466019,-2.231076561297457,-2.1341715459791293
b0806,-3.609443964474098,-2.2373419561121475,-2.1404305272767723
b0809,-3.8606444655403984,-1.9888187607374954,-1.892570155997262
b0810,-3.840877506649488,-2.008154613688838,-1.9118048964062784
b0811,-4.027739757671377,-1.8302457921228343,-1.7356111098508673
b4705,-3.879610448363795,-1.9703329839173076,-1.874194565836842
b0817,-3.7262347784108893,-2.121239094061327,-2.024506071091311
b0818,-3.509121529279113,-2.3373916040473084,-2.2404078296659447
b0819,-3.896550815817378,-1.9538862274106914,-1.857858436101932
b0820,-3.7956579729137108,-2.0525996483050832,-1.956062958666267
b0826,-3.6355123211817006,-2.2113819503215075,-2.114499002639107
b0827,-3.6553902247667462,-2.1916011560314397,-2.094743612276186
b0828,-3.8882269455090817,-1.9619592973090048,-1.8658756281783082
b0829,-3.792681287795635,-2.0555339320587227,-1.9589868059215594
b0830,-3.759260074310926,-2.0885376522898422,-1.9918866387934022
b0831,-3.6607021081447875,-2.18631762059918,-2.089467470974717
b0832,-3.5535931146929536,-2.2930178574509803,-2.1960601365855177
b0835,-3.7109425796248474,-2.1364055540878875,-2.0396403518199286
b0838,-3.8393022984202725,-2.0096981829762295,-1.9133409623742057
b0839,-3.8123653212905997,-2.0361484573037574,-1.93967437203751
b0841,-3.6741660581014224,-2.1729304966977843,-2.0761003367264053
b0842,-3.53299617013262,-2.313565704685315,-2.216594924516533
b0849,-3.622101312099927,-2.2247347356169307,-2.127836501128636
b0850,-3.6500107988788666,-2.1969529402445893,-2.1000881771295545
b0851,-3.7185433864616644,-2.1288655180680416,-2.0321158921320066
b0852,-3.630364428052641,-2.2165068402917996,-2.119617858038701
b0853,-3.800563594891857,-2.047765974155488,-1.9512469454662877
b0854,-3.7985269601626586,-2.0497724211864714,-1.9532459897048609
b0855,-3.6483151258002313,-2.1986401162001794,-2.1017731319588333
b0856,-3.5110566431035126,-2.3354601456876556,-2.238477346855625
b0857,-3.552638193382436,-2.2939703428604115,-2.197011974778002
b0860,-3.963334422909271,-1.8898723463094609,-1.7944180269517758
b0861,-3.7453096410591478,-2.1023417900098575,-2.0056538851310077
b0862,-3.7489452463606283,-2.0987428950991642,-2.002064271430751
b0863,-3.901847408143693,-1.9487580989405244,-1.8527674604367912
b0864,-3.848375674499645,-2.00081235758957,-1.9044994498543193
b0865,-3.874177150014825,-1.975621399836189,-1.8794500059801653
b0866,-3.796977169166174,-2.051299543805885,-1.954767546479952
b0867,-3.7115640406285224,-2.135788938398828,-2.0390249796789774
b0869,-3.642284034405197,-2.2046417980642077,-2.1077671194295715
b0870,-3.787252564081798,-2.0608876849616347,-1.9643220543653468
b0871,-3.785709139245349,-2.0624103369802818,-1.9658395675435532
b0872,-3.2266389339278003,-2.6196420740810025,-2.522596010735773
b0873,-3.1944887351620705,-2.6517846471676267,-2.5547365261196204
b0874,-3.636131260030354,-2.2107658338926575,-2.1138836261876413
b0880,-4.135510838207025,-1.7449699858929941,-1.652291603071421
b0881,-3.880265900746442,-1.9696954296493425,-1.8735610692425315
b0882,-4.000604859857534,-1.8550078591449781,-1.7599912086680702
b0884,-4.144730806976511,-1.7398979376338906,-1.647376770955455
b0886,-3.6774925098753184,-2.1696241851122586,-2.0727992536030198
b0887,-3.611655552042249,-2.2351388082621346,-2.1382296030719607
b0888,-3.943923872918412,-1.9083125906593112,-1.812666233393685
b0889,-4.199426721626495,-1.7248420196568517,-1.632821839351936
b0890,-3.7890260859318095,-2.0591383262018605,-1.9625786667784662
b0891,-3.833166662438178,-2.015714119720957,-1.9193284088992444
b0892,-3.699949731487489,-2.1473161657676583,-2.0505298143297725
b0893,-3.9987289754225293,-1.8567418046445492,-1.7617007912804792
b0894,-3.4250862709914736,-2.4213074841276465,-2.3242917594687538
b0895,-3.411568082436347,-2.434812177966739,-2.3377928304289948
b0896,-3.419457616651753,-2.426930365357826,-2.3299130910905372
b0902,-3.78206036240289,-2.0660109332294074,-1.969428225245529
b0904,-3.86737847534537,-1.9822472160239377,-1.8860361759813713
b0908,-3.929428345906041,-1.9221812306081745,-1.8264057978053974
b0910,-3.963311577946687,-1.889893950532497,-1.7944393914989543
b0917,-3.750325568336887,-2.0973767662991385,-2.0007017266795066
b0918,-3.8287947183943976,-2.020004096088778,-1.923598781470183
b0919,-3.5832786110088204,-2.2634168090394424,-2.16648148055915
b0921,-3.745223266661356,-2.1024273039532484,-2.0057391813394885
b0922,-3.675389848834507,-2.1717140601387457,-2.0748858099080265
b0923,-3.7796771568409757,-2.0683633599492097,-1.9717730110787859
b0924,-3.7700299667491968,-2.0778913104356147,-1.9812712548584646
b0925,-3.7265856143423863,-2.1208913081879563,-2.0241590634333484
b0926,-4.001665626854456,-1.854028485887756,-1.7590257264839053
b0927,-3.931279002687501,-1.9204064376985193,-1.824646838369928
b0928,-4.034307630557031,-1.8243571542094583,-1.7298234111394672
b0930,-4.041902643093725,-1.817608837709285,-1.7231959749931764
b0931,-3.9422501120401137,-1.9099100000676121,-1.814248135118856
b0932,-3.787945223336158,-2.0602044251819995,-1.9636411181929698
b0933,-3.3825076670598118,-2.463847533964239,-2.36682145279643
b0934,-3.1532685821750497,-2.6929972036740164,-2.595947032078186
b0935,-3.2699082037045013,-2.576386148091491,-2.479343683664307
b0936,-3.2133017997669326,-2.6329758379360895,-2.535928865241951
b0937,-3.1940018015011677,-2.652271477870332,-2.555223329035247
b0945,-3.773260920833126,-2.074699356518009,-1.9780890356800351
b0948,-3.6961336017289814,-2.1511052264370045,-2.054311895624074
b0949,-3.731681573163547,-2.1158405323853717,-2.0191198029027566
b0950,-3.5697521728724446,-2.2769025857452587,-2.17995648639368
b0951,-3.6325499625184725,-2.214330969808139,-2.1174445235614474
b0952,-3.645996047789884,-2.200947736978919,-2.1040777564487563
b0954,-4.074939941290134,-1.7892288675359391,-1.695391434040632
b0956,-3.7208987065993173,-2.1265297126098917,-2.0297850791037693
b0958,-3.731512293715676,-2.116008284124417,-2.0192871656922042
b0959,-3.567450715163557,-2.279197500656678,-2.182249666265738
b0960,-3.580078902583347,-2.2666065479512865,-2.1696685805193874
b0961,-3.673977332405109,-2.173118093960927,-2.07628764089846
b0962,-3.6678439506080736,-2.1792156146113024,-2.082375839160852
b0963,-3.936054329620921,-1.9158323593414803,-1.8201144767312176
b0964,-3.486782617261943,-2.3596917005030296,-2.2626975570094925
b0970,-4.076878518464806,-1.787625141101898,-1.693823749376745
b0972,-3.1658951002059577,-2.680372787134551,-2.583323182874857
b0973,-3.2036575589238803,-2.642617828228973,-2.545570248230234
b0974,-3.2615872159310606,-2.584704250391092,-2.4876610079191033
b0975,-3.334840411061631,-2.5114831950680094,-2.414448612956341
b0976,-3.2791718564432055,-2.5671259093371424,-2.4700843653288307
b0977,-3.298606930700411,-2.5476987500231414,-2.450659339342809
b0978,-3.452679822739689,-2.3937457413068,-2.2967385472963495
b0979,-3.4570094867688086,-2.3894216454279973,-2.292415943410445
b0980,-3.50393054251268,-2.3425730250253047,-2.2455866969962788
b0987,-3.412862988156587,-2.433518510766776,-2.336499495824868
b0995,-3.555088778007026,-2.291526042257201,-2.194569343684567
b0996,-3.05736968905325,-2.7888849295086264,-2.691831742170936
b0997,-3.2509530370814645,-2.595334975376096,-2.498290801460322
b0998,-3.320247731948958,-2.526068110283126,-2.429031437302687
b0999,-3.761963581463797,-2.0858642532053286,-1.9892208005125038
b1000,-3.8251454717086157,-2.023586962129357,-1.9271657152503063
b1002,-3.6926415880170413,-2.154573108431127,-2.057773548124195
b1003,-4.001322354704089,-1.8543453280703677,-1.759338064338667
b1004,-3.9826128961670793,-1.8717361297663193,-1.7764962472855952
b1006,-3.3459573435994265,-2.500372726812435,-2.403339884999755
b1007,-3.217874169998037,-2.6284045883012443,-2.5313579179731924
b1008,-3.134268662352854,-2.7119942875740213,-2.614943350281331
b1009,-3.123235557231535,-2.72302590897227,-2.625974571035327
b1010,-3.1656903873432936,-2.6805774644423335,-2.583527850584407
b1011,-3.0844138201934928,-2.761843239441881,-2.664790711452997
b1012,-3.138919468590663,-2.7073441414796937,-2.6102933824342416
b1013,-3.5477360979836314,-2.298860186416492,-2.2018985619157294
b1014,-3.531837813104131,-2.31472150475459,-2.217750043646967
b1015,-3.69725330075837,-2.1499933934344666,-2.0532020916771976
b4490,-3.709354483480998,-2.1379813660224296,-2.041213009748185
b1020,-3.737435012292669,-2.110140142083163,-2.0134329013187027
b1021,-3.3370307473885585,-2.509294093311066,-2.412259843607797
b1022,-3.2242461399317244,-2.6220342403080656,-2.5249880075940068
b1023,-3.2123593790396034,-2.6339180320668345,-2.5368709982291193
b1024,-3.313325655918013,-2.5329867689965586,-2.435949175471149
b1025,-3.4365157085145905,-2.409890487022009,-2.3128781001866496
b1036,-3.6798668016559164,-2.1672645628839886,-2.0704434365367765
b1037,-3.55124767786348,-2.2953573402863445,-2.1983980373198477
b1038,-3.505246858631517,-2.3412591019198676,-2.244273412827476
b1039,-3.5400810095336572,-2.3064969626201965,-2.2095304674407994
b1040,-3.651370216052388,-2.195600409220516,-2.098737445479996
b1041,-3.2296916843562378,-2.616590139798394,-2.51954429663771
b1042,-3.4823043741030117,-2.364162862920608,-2.267166825872224
b1043,-3.350656674741356,-2.4956762815356712,-2.3986442164802804
b1044,-3.554372029088646,-2.2922409420633523,-2.195283752277861
b1045,-3.7065282937816253,-2.140786037420371,-2.04401215187223
b1046,-3.5712721136772236,-2.2753870241542686,-2.178442085800711
b1048,-3.885923878349771,-1.9641958430163617,-1.868097238596367
b1049,-3.80737028328709,-2.041063551651435,-1.9445700100893406
b1051,-3.9411245013007044,-1.9109848692915168,-1.8153126658072873
b1054,-3.659457199662307,-2.1875557893045814,-2.0907038826003532
b1055,-3.749230141655267,-2.0984609176156943,-2.0017830309463984
b1056,-3.742987586976866,-2.1046408982193645,-2.0079471839460745
b1057,-3.450704935983518,-2.3957181433810697,-2.298710283472371
b1059,-3.7834941677149354,-2.064595906684278,-1.9680178550847047
b1060,-3.836298506941313,-2.0126426791620404,-1.9162713657754507
b1061,-3.755236875452145,-2.0925171288041025,-1.995855116501781
b1062,-3.935440580219872,-1.9164197909843,-1.8206964764850655
b1064,-3.9496791579690864,-1.9028282948799302,-1.8072365065841283
b1066,-3.79425410921428,-2.053983398445701,-1.9574417607558754
b1070,-3.7689673304862827,-2.0789413198985334,-1.9823181087263155
b1071,-3.8095815318360304,-2.038887326596133,-1.9424023179905388
b1072,-3.637356721089716,-2.209545997574073,-2.1126652642633044
b1073,-3.7144944950569623,-2.13288162499413,-2.036123601505931
b1074,-3.723567490603262,-2.123883443491373,-2.0271445642674553
b1075,-3.754620885307879,-2.093126536844221,-1.996462866779106
b1076,-3.77137653879146,-2.0765608806271376,-1.9799448564528332
b1077,-3.6870654843617365,-2.1601119035163974,-2.0633026982829157
b1078,-3.7312918123003596,-2.116226778539109,-2.0195051541812807
b1079,-3.59635899831159,-2.250379586556746,-2.1534556697529936
b1080,-3.5589647335390273,-2.287660248369067,-2.190706248461218
b1081,-3.5391592178626485,-2.307416614554899,-2.2104495499788808
b1082,-3.6953654774928713,-2.151867990773127,-2.0550732769353894
b1083,-3.76563701131286,-2.08223269552181,-1.9855997399976757
b1084,-3.8903079788191826,-1.9599394224061284,-1.8638694420251232
b1090,-3.8837291707863044,-1.9663282732528844,-1.8702156427309689
b1091,-3.928648431531093,-1.9229295217058346,-1.8271474713581688
b1092,-3.9997084059360315,-1.855836166629963,-1.7608078413386465
b1095,-4.010972244812115,-1.8454728107999014,-1.7505955103265893
b1101,-4.077710238321558,-1.78693962001112,-1.6931537580016462
b1102,-3.515076489090278,-2.3314480527332826,-2.234467322436734
b1109,-3.7857377627146183,-2.062382096607575,-1.9658114219881955
b1111,-3.7141521726765854,-2.1332212189811237,-2.0364624960475584
b1112,-3.682015435063307,-2.1651294201658153,-2.068311790885072
b1113,-3.6238226399300633,-2.2230205765361593,-2.1261242264666973
b1114,-3.7234611705783816,-2.1239888582695006,-2.0272497478030638
b1127,-3.754960146911164,-2.092790896742579,-1.996128138849312
b1129,-3.7275545320756978,-2.119930854061893,-2.0232007681926727
b1130,-3.9022587645583724,-1.9483601274891518,-1.8523724278438596
b1131,-3.9360930165276753,-1.9157953358811783,-1.8200777963631505
b1132,-3.819625506009426,-2.0290099143401523,-1.9325652919456786
b1160,-3.2295312473444846,-2.6167505334872914,-2.519704678638926
b1162,-3.808764292048054,-2.0396915550841803,-1.9432033781272988
b1163,-3.5968599204518474,-2.2498803975455597,-2.152956938457336
b1164,-3.5802755229655836,-2.266410533761491,-2.169472726825053
b1165,-3.5109912929854943,-2.335525371551912,-2.2385425395624776
b1166,-3.492884561521516,-2.353599766578844,-2.2566082990181027
b1167,-3.426734686954075,-2.4196608020375416,-2.3226455427006507
b1179,-3.843408705580654,-2.0056750549134867,-1.9093375599381903
b1182,-3.3039484128904264,-2.5423596362677805,-2.4453208638033166
b1183,-3.486067636027723,-2.360405536390838,-2.263411086647311
b1184,-3.3906251501621267,-2.4557365501925505,-2.3587122161930147
b1187,-3.7906480184386018,-2.0575387697331164,-1.9609846337692642
b1188,-3.7472450651725677,-2.100425788319286,-2.0037427958660188
b1189,-3.7488715365381364,-2.0988158509892534,-2.0021370368713582
b1190,-3.6829691571434875,-2.1641817527023157,-2.067365692185116
b1194,-3.6479236507832042,-2.1990296439541956,-2.102162150578939
b1197,-3.5792409294861613,-2.2674419468762927,-2.170503297856253
b1198,-3.7435909052211738,-2.104043504747296,-2.007351291098855
b1199,-3.7440392788244172,-2.1035995511043586,-2.0069084566694944
b1200,-3.7747212957343916,-2.0732569143898365,-1.9766510636850458
b1201,-3.463212661333872,-2.383226746237099,-2.2862232609032276
b1203,-3.852821333694152,-1.9964634391187643,-1.9001732331469936
b1204,-3.7394577606234325,-2.108136574165933,-2.011434202113958
b1205,-3.8365875750764356,-2.012359258775266,-1.91598928941917
b1207,-4.0766309932539935,-1.7878294535187322,-1.6940234476752034
b1208,-3.920775731675912,-1.9304941684970014,-1.8346471133380418
b1209,-3.818436486317842,-2.0301785574135867,-1.9337290114927388
b1210,-3.7385460461420137,-2.109039608730568,-2.0123350339331814
b1211,-3.7075594640411036,-2.1397626679460497,-2.042990787508406
b1212,-3.575169004355325,-2.271501576457674,-2.1745596706990877
b1213,-3.5923327298829033,-2.254392143833116,-2.1574646046399804
b1214,-3.8178217746214824,-2.030782805512199,-1.9343307294525172
b1215,-3.950430786689198,-1.9021130507683852,-1.806528533490326
b1218,-3.696052544364438,-2.1511857168018866,-2.0543922397014445
b1220,-3.5147779132091266,-2.3317460452538747,-2.234765159340699
b1221,-3.7598602318571235,-2.0879441274015105,-1.9912947804359566
b1222,-3.6089976316159853,-2.237786601570525,-2.1408747280443303
b1223,-3.319260790687482,-2.5270545542386658,-2.4300177473047806
b1224,-3.4149095744213045,-2.431473904810386,-2.3344554216264792
b1225,-3.4166973378328254,-2.4296878944338727,-2.332669881939074
b1226,-3.378009198682854,-2.4683425550630638,-2.371315546974237
b1227,-3.4045308977058415,-2.441842823106001,-2.344821719090127
b1233,-3.803233945921061,-2.045135900965508,-1.9486267329104023
b1234,-3.776448499960058,-2.071551168589145,-1.9749506618802892
b1235,-3.7394218195904467,-2.108172171940478,-2.0114697127952144
b1236,-3.936731614112133,-1.915184274630131,-1.8194724104952882
b1241,-4.093654524987473,-1.7741281613972466,-1.68064662863429
b1243,-4.1904968721154106,-1.725722735071182,-1.633671770024127
b1244,-3.8504601119291313,-1.9987728696353937,-1.9024705231242538
b1245,-3.8223847614883577,-2.026298650549686,-1.9298656053279368
b1246,-3.838724655533156,-2.0102643180167252,-1.913904365456924
b1247,-3.8646007455705966,-1.9849569038260466,-1.8887301670775771
b1248,-3.8276462823995185,-2.0211314448482076,-1.9247210744763037
b1249,-3.7567193825737366,-2.091050584231899,-1.9943925901045434
b1251,-3.9315009341287803,-1.9201936825619004,-1.824435994403501
b1252,-3.8534555464137705,-1.9958432975518892,-1.8995563848293366
b1254,-3.7722203507378698,-2.0757272653304426,-1.9791137861079686
b1255,-3.7298853316549403,-2.117620657915887,-2.0208958239497132
b1256,-3.5266929944724246,-2.319855213260519,-2.222880792495582
b1257,-3.608456405714058,-2.238325788415793,-2.1414133774777393
b1258,-3.5505913092096937,-2.2960120601320724,-2.19905231896514
b1259,-3.6839668237000476,-2.1631904639052655,-2.066376055397185
b1260,-3.946054480943497,-1.9062807566446212,-1.8106543744521868
b1261,-3.8996553420870614,-1.9508795775102217,-1.8548734087966436
b1262,-3.816948378087418,-2.0316414176581636,-1.9351857645244823
b1263,-3.8031713678130936,-2.0451975260253183,-1.948688124867311
b1264,-3.832582271619932,-2.016287396834725,-1.9198990325014975
b1266,-3.7109530833820266,-2.136395132045596,-2.0396299507520785
b1267,-3.792764554629336,-2.055451838685318,-1.9589050016614844
b1268,-3.4153154659035994,-2.431068409428418,-2.3340500326006217
b1272,-3.770455552961928,-2.077470808832517,-1.980852023430836
b1274,-3.869870311819744,-1.9798176774795222,-1.8836209639745225
b1275,-3.8128693062291057,-2.0356527049979185,-1.9391806191487857
b4522,-3.812698373014595,-2.035820842535224,-1.9393480778022276
b4523,-3.7982910506961067,-2.0500048632640535,-1.9534775808106077
b1276,-3.809738829759488,-2.0387325421190052,-1.9422481453308569
b1277,-3.8121044400452337,-2.036405089177146,-1.9399299715811493
b1278,-3.637969935054007,-2.2089356165259018,-2.1120556256510916
b1279,-3.845296800993246,-2.003826132041738,-1.9074978883647982
b1280,-3.721256661823966,-2.126174752200313,-2.0294308844507625
b1281,-3.77402284548165,-2.073946764047592,-1.9773387699309868
b1282,-3.69265175052304,-2.154563015284331,-2.057763472892271
b1283,-3.8659906879001116,-1.983600825968622,-1.8873819078980167
b1284,-3.7819620024007086,-2.0661080122343956,-1.9695249864634283
b4596,-3.7868574314088157,-2.061277477075891,-1.9647105257997208
b1285,-3.608086556130379,-2.2386942490573736,-2.141781472021759
b1286,-3.9054445845941053,-1.9452794806183418,-1.849314806651321
b1287,-3.7388875517141895,-2.108701347740672,-2.0119975964423933
b1288,-4.125217282527648,-1.7513276496903354,-1.6584599246258993
b1296,-3.48311712849978,-2.3633513772654062,-2.2663556795538615
b1297,-3.6982714094844336,-2.1489824918806417,-2.0521930485689848
b1298,-3.6472162720534507,-2.1997335177097255,-2.1028651078025318
b1299,-3.6952147369183113,-2.1520176829409694,-2.055222698540259
b1300,-3.538939622797198,-2.307635701907651,-2.2106685022179224
b1301,-3.481010384602805,-2.365454847202982,-2.268458273799443
b1302,-3.4491659946907243,-2.397255171974833,-2.3002467994077183
b1303,-3.5147086291410994,-2.3318151941275236,-2.23483427214944
b1304,-3.741164994910491,-2.1064457481824124,-2.0097475376867617
b1305,-3.575883767840058,-2.2707889459537083,-2.1738476052943976
b1306,-3.580384642728302,-2.266301750782301,-2.169364033010684
b1307,-3.520761996487068,-2.325773888710218,-2.228796183520176
b1308,-3.8123843144221876,-2.036129773865435,-1.9396557638269816
b1321,-3.5608838693122387,-2.2857462469404486,-2.1887936100934815
b1322,-3.534156016391205,-2.3124084394769873,-2.2154383465804908
b1323,-3.752529191660678,-2.0951960984930205,-1.998526850504786
b1325,-3.6482797707390042,-2.1986752951777206,-2.1018082648992134
b1326,-3.7118400098240283,-2.1355151277715207,-2.038751722956222
b4525,-3.4313701730977355,-2.415030299417159,-2.3180163773073126
b1327,-3.407613843572489,-2.4387627029303327,-2.341742357936288
b1330,-3.590097903894636,-2.2566195249088286,-2.1596900178518905
b1333,-3.9151148433219913,-1.9359455451696121,-1.8400537145413605
b1334,-4.032357425458524,-1.8261007748069278,-1.7315367113225022
b1335,-3.6221920833794248,-2.2246443402011375,-2.127746204530219
b1342,-3.6458256309734,-2.201117319253183,-2.104247120411277
b1376,-3.870949081974001,-1.9787662535805373,-1.8825758152632512
b1377,-3.174293866114724,-2.6719755241837704,-2.5749263256412114
b1378,-3.728469381937014,-2.119024049917447,-2.0222960155417664
b4529,-3.82562070436183,-2.023120271213769,-1.9267010772994368
b1379,-3.620376718970171,-2.2264522330724748,-2.129552132752954
b1380,-3.594591745949698,-2.252140772914725,-2.1552152538014124
b1384,-3.483495049151207,-2.362974049011943,-2.265978509735938
b1385,-3.478704549522768,-2.3677571535220787,-2.270759636125018
b1386,-3.273745015094384,-2.572550724202762,-2.475508633867009
b1387,-3.1099555451694076,-2.7363042789012555,-2.6392524975130267
b1388,-3.1260585303050648,-2.720203304825636,-2.623152066511233
b1389,-3.1606833543819626,-2.6855836432577,-2.588533798813705
b1390,-3.1415391530612307,-2.7047248383028197,-2.6076741822090868
b1391,-3.1441596535218386,-2.702104726225687,-2.605054174996088
b1392,-3.2240605035628676,-2.622219828406605,-2.5251735826692596
b1393,-3.156628033861543,-2.689638293330605,-2.592588267885551
b1394,-3.134578338689432,-2.7116846545369904,-2.614633728935902
b1395,-3.2245456290058323,-2.6217348292397284,-2.524688617571491
b1396,-3.2745378075124765,-2.571758223102331,-2.4747162113071948
b1397,-3.460935670240655,-2.3855006581632527,-2.2884963481276848
b1398,-3.4708296570363433,-2.375620412618123,-2.2786197820272287
b1399,-3.6075798412891524,-2.23919906682597,-2.1422857897213325
b1400,-3.6519727693522617,-2.1950009294223225,-2.0981387686113133
b1407,-3.20226764934797,-2.6440074256581956,-2.5469597614225474
b1408,-2.976072285620711,-2.870177226973555,-2.773122660241531
b1409,-2.9096021864008543,-2.936644831382231,-2.839589590549763
b1410,-3.2815951338193083,-2.56470356173053,-2.4676622683651748
b1411,-3.3578293922926274,-2.488508153971099,-2.3914773241386884
b1412,-3.7433806846123816,-2.104251657986604,-2.0075589207629285
b1415,-3.852890416571626,-1.9963958856532655,-1.9001060377368424
b1421,-3.5361855802079893,-2.310383442725709,-2.213414565727798
b1422,-3.7702126223764214,-2.0777108351136437,-1.9810913242312918
b1427,-3.65895769654268,-2.188052604854027,-2.0911999973377577
b1429,-3.5375662857942265,-2.309005881303431,-2.212037841232067
b1430,-3.8024998195677817,-2.0458588745836286,-1.9493469780566155
b1434,-3.5045363897439104,-2.341968276475461,-2.2449822418041405
b4532,-3.599865500949319,-2.2468853450426134,-2.1499646655792777
b1438,-3.62145564730933,-2.2253777337786946,-2.1284787981639575
b1439,-3.560871891473559,-2.2857581925200128,-2.188805547109945
b1440,-3.557712407367546,-2.2889092611220656,-2.19195438139795
b1441,-3.4151716307970434,-2.4312121040418795,-2.3341936894907858
b1442,-3.3824230058642377,-2.4639321292843253,-2.3669060304049823
b1443,-3.409611515852256,-2.4367668941670324,-2.3397470496861925
b1444,-3.500263524044439,-2.346233491580628,-2.249245413821224
b1452,-3.920444579052893,-1.9308127958877155,-1.8349630768194856
b1453,-3.4121895507288995,-2.4341913026923403,-2.337172114407803
b1454,-3.5078739450823524,-2.338636857543435,-2.241652461071519
b1465,-3.3292703046422694,-2.5170502450237744,-2.4200148398762504
b1466,-3.3154377880483077,-2.530875662282639,-2.433838344995619
b1469,-3.270094586446122,-2.5761998319033372,-2.4791573854205304
b1473,-3.5344819218091397,-2.3120832630787214,-2.2151133642878644
b1474,-3.2890133881437573,-2.557288252551574,-2.4602477530535367
b1475,-3.2567036251361654,-2.5895862234681433,-2.492542544745977
b1476,-3.387166893439616,-2.459191993242825,-2.362166902928764
b1481,-3.570675875670304,-2.275981538736453,-2.1790361435043355
b1482,-4.001714345740841,-1.85398352511023,-1.7589814056871578
b1483,-3.3176653798100677,-2.5286491683637906,-2.4316121468116756
b1484,-3.346851007519394,-2.4994796044820595,-2.4024469084511577
b1485,-3.336971905411219,-2.5093529018770577,-2.4123186431780232
b1486,-3.2891044164048195,-2.557197261377311,-2.4601567718753703
b1487,-3.3991371656853437,-2.44723175453627,-2.3502093607834005
b1488,-3.363032713097565,-2.483308308606834,-2.3862784138839936
b1492,-3.7841966591699907,-2.0639026883717504,-1.9673269346137854
b1493,-3.8488709833884722,-2.000327664952831,-1.9040172536419917
b1497,-3.1634506157395377,-2.6828168503081535,-2.5857671323171725
b1498,-3.3834461362425534,-2.4629097976072463,-2.365883913466086
b1499,-3.202338521619726,-2.6439365692304886,-2.5468889092705957
b1500,-3.015464390912062,-2.830787240911878,-2.7337332467365374
b1501,-3.347122323301277,-2.49920845379107,-2.4021758021975974
b1507,-3.555854347822594,-2.2907624577705197,-2.193806286549322
b1508,-3.5824366741868174,-2.2642561008667093,-2.167320072370181
b1511,-3.4145745217209376,-2.431808631380057,-2.3347900606259766
b1512,-3.5048832969743295,-2.341622000439948,-2.244636134296503
b1513,-3.252528345366554,-2.5937601628397546,-2.4967161226274803
b1514,-3.227812082929733,-2.618469236680698,-2.5214232574021427
b1515,-3.227118055225938,-2.6191630797375245,-2.522117050643406
b1516,-3.3587175406439447,-2.4876205900038166,-2.390589917417589
b1517,-3.4279208298394725,-2.418475919120999,-2.3214609979003518
b1518,-3.4835537348287877,-2.362915455465158,-2.2659199408289403
b1519,-3.6341570883652317,-2.2127310460481664,-2.1158464890167754
b1521,-3.351836237987324,-2.494497457534056,-2.3974655914363745
b1528,-3.4905539427970638,-2.355926511605318,-2.258934008687023
b1529,-3.642834466515031,-2.2040939983346663,-2.1072200088388824
b1530,-3.5645077756975265,-2.282132225819335,-2.185182212384831
b1531,-3.674037069586738,-2.173058713797532,-2.0762283534660795
b1532,-3.498016351676743,-2.3484767308332657,-2.251487602454084
b1535,-3.5293465673245765,-2.317207320911405,-2.2202344135826944
b1536,-3.57363231782759,-2.273033713255081,-2.176090601930186
b1537,-3.4397697757639345,-2.4066401460543143,-2.3096287586227064
b1539,-3.956708796230111,-1.8961483152947307,-1.8006258605789114
b1540,-3.7506489235344023,-2.0970567566048484,-2.000382561439475
b1544,-2.917886463298705,-2.9283608066128264,-2.831305633909256
b1546,-3.374915559807359,-2.471433884841991,-2.374406255788991
b1547,-3.154939599668848,-2.691326453877041,-2.594276354553949
b1548,-3.2605742256866,-2.5857169005687473,-2.4886735663936186
b1550,-3.9731755795953725,-1.8805896549257726,-1.7852417163408318
b1552,-3.3929112456783423,-2.453452352061828,-2.3564285280233395
b1562,-3.7908083047417396,-2.057380709293778,-1.9608271224574298
b1563,-3.8279254933285323,-2.0208573439398325,-1.9244481991842175
b1564,-3.7986792414299515,-2.0496223813631462,-1.953096499905536
b1566,-3.6795549681059594,-2.1675744556042904,-2.070752825971841
b1567,-3.2065138747644677,-2.639762163357101,-2.5427147590269468
b1568,-3.2101090217183432,-2.636167854246237,-2.539120676006233
b1571,-3.3255042404481525,-2.5208143084904147,-2.4237783645294253
